branding#callsign#frequency#power (kw)#location
97.9 home radio#dwqz#97.9 mhz#25 kw#metro manila
dwiz news radio dagupan#dwiz#89.3 mhz#10 kw#dagupan
94.3 home radio palawan#dwqp#94.3 mhz#10 kw#puerto princesa , palawan
95.1 home radio naga#dwqj#95.1 mhz#10 kw#naga
92.3 home radio legaspi#dwqa#92.3 mhz#10 kw#legaspi
106.7 home radio cebu#dyqc#106.7 mhz#20 kw#cebu
89.5 home radio iloilo#dyqn#89.5 mhz#10 kw#iloilo
94.5 home radio zamboanga#dxqt#94.5 mhz#10 kw#zamboanga
98.7 home radio davao#dxqm#98.7 mhz#20 kw#davao
93.5 home radio cagayan de oro#dxqr#93.5 mhz#10 kw#cagayan de oro
98.3 home radio general santos#dxqs#98.3 mhz#10 kw#general santos
