rider#manufacturer#laps#time / retired#grid
jorge lorenzo#aprilia#25#39:25.727#1
álvaro bautista#aprilia#25#+ 19.634#3
andrea dovizioso#honda#25#+ 19.724#7
hiroshi aoyama#ktm#25#+ 19.797#6
thomas lüthi#aprilia#25#+ 20.066#8
julián simón#honda#25#+ 21.045#9
marco simoncelli#gilera#25#+ 32.960#5
shuhei aoyama#honda#25#+ 33.043#10
alex de angelis#aprilia#25#+ 33.051#4
yuki takahashi#honda#25#+ 44.814#12
roberto locatelli#gilera#25#+ 48.733#13
jules cluzel#honda#25#+ 54.010#15
karel abrahám#aprilia#25#+ 1:03.218#21
aleix espargaró#aprilia#25#+ 1:09.368#14
dirk heidolf#aprilia#25#+ 1:17.807#17
eugene laverty#honda#25#+ 1:21.239#24
fabrizio lai#aprilia#25#+ 1:31.245#16
taro sekiguchi#aprilia#25#+ 1:33.575#22
ratthapark wilairot#honda#25#+ 1:33.916#23
federico sandi#aprilia#24#+ 1 lap#25
alex baldolini#aprilia#18#retirement#19
imre tóth#aprilia#5#retirement#18
efrén vázquez#aprilia#3#accident#20
ho wan chow#aprilia#1#retirement#26
mika kallio#ktm#1#accident#11
héctor barberá#aprilia#0#retirement#2
