poll source#dates administered#democrat : jay nixon#republican : kenny hulshof#lead margin
public policy polling#november 2 , 2008#57.9%#38.4%#19.5
survey usa#november 2 , 2008#54%#39%#15
survey usa#october 26 , 2008#55%#38%#17
rasmussen reports#october 14 , 2008#57%#38%#19
survey usa#september 23 - 24 , 2008#54%#37%#17
st louis post dispatch / research 2000#september 22 - 24 , 2008#49%#42%#7
st louis post dispatch / research 2000#september 15 - 18 , 2008#50%#43%#7
rasmussen reports#september 11 , 2008#54%#39%#15
rasmussen reports#august 7 , 2008#53%#42%#11
survey usa#july 29 - 31 , 2008#48%#42%#6
research 2000 / st louis post - dispatch#july 7 - 10 , 2008#52%#35%#17
rasmussen reports#july 7 , 2008#49%#38%#11
public policy polling#july 2 - 5 , 2008#47%#37%#10
