place#player#country#score#to par#money
1#tom watson#united states#69 + 71 + 74 + 70 = 284#- 4#32000
t2#peter oosterhuis#england#74 + 67 + 74 + 70 = 285#- 3#19300
t2#nick price#zimbabwe#69 + 69 + 74 + 73 = 285#- 3#19300
t4#nick faldo#england#73 + 73 + 71 + 69 = 286#- 2#11000
t4#masahiro kuramoto#japan#71 + 73 + 71 + 71 = 286#- 2#11000
t4#tom purtzer#united states#76 + 66 + 75 + 69 = 286#- 2#11000
t4#des smyth#ireland#70 + 69 + 74 + 73 = 286#- 2#11000
t8#sandy lyle#scotland#74 + 66 + 73 + 74 = 287#- 1#8750
t8#fuzzy zoeller#united states#73 + 71 + 73 + 70 = 287#- 1#8750
t10#bobby clampett#united states#67 + 66 + 78 + 77 = 288#e#7350
t10#jack nicklaus#united states#77 + 70 + 72 + 69 = 288#e#7350
