n#ep#huckleberry hound#pixie and dixie#yogi bear#air date#credited animators
27#1#ten pin alley#hi fido#show biz bear#1959.09.14#ed love , manuel perez , don patterson
28#2#grim pilgrim#rapid robot#lullabye - bye bear#1959.09.21#kenneth muse , carlo vinci , george nicholas
29#3#jolly roger and out#sour puss#bare face bear#1959.09.28#kenneth muse , ed love , gerard baldwin
30#4#somebody 's lion#king size poodle#papa yogi#1959.10.26#dick lundy , carlo vinci , george nicholas
31#5#a bully dog#mighty mite#stranger ranger#1959.11.02#kenneth muse , lewis marshall
32#6#nottingham and yeggs#bird brained cat#rah rah bear#1959.11.23#ed love , don patterson , carlo vinci
33#7#huck the giant killer#batty bat#bear for punishment#1959.11.30#dick lundy , don williams , gerard baldwin
34#8#cop and saucer#lend - lease meece#nowhere bear#1959.12.21#ed love , george nicholas
35#9#pony boy huck#a good good fairy#wound - up bear#1959.12.28#laverne harding , lewis marshall , don patterson
36#10#pet vet#heavens to jinksy#bewitched bear#1960.01.18#carlo vinci , kenneth muse , don patterson
37#11#piccadilly dilly#goldfish fever#hoodwinked bear#1960.01.25#don patterson , dick lundy , george nicholas
38#12#wiki waki huck#pushy cat#snow white bear#1960.02.15#lewis marshall , carlo vinci , george nicholas
