res#record#opponent#method#event#round#location
win#12 - 3#joe wilk#tko (strikes)#strikeforce challengers : woodley vs bears#1#kansas , united states
loss#11 - 3#muhsin corbbrey#decision (unanimous)#shoxcjuly_27.2c_2007_card#3#california , united states
win#11 - 2#talon hoffman#tko#ifo - eastman vs kimmons#2#nevada , united states
win#10 - 2#kyle olsen#decision (unanimous)#tuff - n - uff 2#3#nevada , united states
win#9 - 2#tj brown#decision (unanimous)#tuff - n - uff 2#3#nevada , united states
win#8 - 2#frank young#submission#tfc 7 - red rumble#1#kansas , united states
loss#7 - 2#luke gwaltney#decision (unanimous)#ggp - good guys promotions#3#kansas , united states
win#7 - 1#billy walters#tko#tfc 6 - titan fighting championships 6#1#kansas , united states
win#6 - 1#mike funk#submission (strikes)#fcf - freestyle cage fighting#1#oklahoma , united states
loss#5 - 1#justin james#submission (armbar)#ec 70 - extreme challenge 70#1#wisconsin , united states
win#5 - 0#robert hembree#submission (strikes)#tfc 5 - titan fighting championship 5#1#kansas , united states
win#4 - 0#joe davis#tko#tfc 4 - memorial mayhem#1#kansas , united states
win#3 - 0#nathan murdock#decision (unanimous)#tfc 3 - red river rumble#3#oklahoma , united states
win#2 - 0#adrian olivas#ko#ndn - promotions#2#oklahoma , united states
win#1 - 0#bobby gregg#tko#iscf - clash of the titans#1#missouri , united states
