season#team name#games#losses#points
1986#richmond outlaws#24#15#18
1987#richmond outlaws#24#15#18
1988#richmond outlaws#24#16#16
1989#richmond outlaws#24#17#14
1990#burnaby lakers#24#14#20
1991#burnaby lakers#24#16#16
1992#burnaby lakers#24#10#28
1993#burnaby lakers#24#12#24
1994#burnaby lakers#20#16#8
1995#burnaby lakers#25#13#23
1996#burnaby lakers#20#10#20
1997#burnaby lakers#20#18#3
1998#burnaby lakers#25#21#8
1999#burnaby lakers#25#20#10
2000#burnaby lakers#25#14#22
2001#burnaby lakers#20#11#18
2002#burnaby lakers#20#9#22
2003#burnaby lakers#20#11#17
2004#burnaby lakers#20#6#28
2005#burnaby lakers#18#9#17
2006#burnaby lakers#18#6#24
2007#burnaby lakers#18#6#24
2008#burnaby lakers#18#7#19
2009#burnaby lakers#18#15#5
total#24 seasons#522#307#422
