no in series#title#directed by#written by#original air date#us viewers (millions)
1#pilot#james hayman#josh berman#july 12 , 2009#2.8
2#the f word#ron underwood#carla kettner & josh berman#july 19 , 2009#2.46
3#do over#michael lange#alex taub#july 26 , 2009#2.80
4#the chinese wall#lawrence trilling#thania st john#august 2 , 2009#n / a
5#lost and found#david petrarca#jeanette collins & mimi friedman#august 9 , 2009#2.44
6#second chances#michael schultz#jeffrey lippman#august 16 , 2009#3.06
7#the magic bullet#jamie babbit#shawn schepps#august 23 , 2009#2.90
8#crazy#melanie mayron#maurissa tancharoen#august 30 , 2009#3.41
9#the dress#david petrarca#josh berman#september 13 , 2009#3.08
10#make me a match#matt hastings#thania st john#september 20 , 2009#3.06
11#what if#bethany rooney#jeanette collins & mimi friedman#september 27 , 2009#n / a
12#dead model walking#ron underwood#amy engelberg & wendy engelberg#october 4 , 2009#n / a
