year#championship#54 holes#winning score#margin#runner (s) - up
1. 1962#us open#2 shot deficit#1 (72 + 70 + 72 + 69 = 283)#playoff 1#arnold palmer
2. 1963#masters tournament#1 shot lead#2 (74 + 66 + 74 + 72 = 286)#1 stroke#tony lema
3. 1963#pga championship#3 shot deficit#5 (69 + 73 + 69 + 68 = 279)#2 strokes#dave ragan
4. 1965#masters tournament (2)#5 shot lead#17 (67 + 71 + 64 + 69 = 271)#9 strokes#arnold palmer , gary player
5. 1966#masters tournament (3)#tied for lead#e (68 + 76 + 72 + 72 = 288)#playoff 2#gay brewer , tommy jacobs
6. 1966#the open championship#2 shot deficit#2 (70 + 67 + 75 + 70 = 282)#1 stroke#doug sanders , dave thomas
7. 1967#us open (2)#1 shot deficit#9 (71 + 67 + 72 + 65 = 275)#4 strokes#arnold palmer
8. 1970#the open championship (2)#2 shot deficit#5 (68 + 69 + 73 + 73 = 283)#playoff 3#doug sanders
9. 1971#pga championship (2)#4 shot lead#7 (69 - 69 + 70 + 73 = 281)#2 strokes#billy casper
10. 1972#masters tournament (4)#1 shot lead#2 (68 + 71 + 73 + 74 = 286)#3 strokes#bruce crampton , bobby mitchell , tom weiskopf
11. 1972#us open (3)#1 shot lead#+ 2 (71 + 73 + 72 + 74 = 290)#3 strokes#bruce crampton
12. 1973#pga championship (3)#1 shot lead#7 (72 + 68 + 68 + 69 = 277)#4 strokes#bruce crampton
13. 1975#masters tournament (5)#1 shot deficit#12 (68 + 67 + 73 + 68 = 276)#1 stroke#tom weiskopf , johnny miller
14. 1975#pga championship (4)#4 shot lead#4 (70 + 68 + 67 + 71 = 276)#2 strokes#bruce crampton
16. 1980#us open (4)#tied for lead#8 (63 + 71 + 70 + 68 = 272)#2 strokes#isao aoki
17. 1980#pga championship (5)#3 shot lead#6 (70 + 69 + 66 + 69 = 274)#7 strokes#andy bean
