player#height#position#year born#current club
nikita shabalkin#2.04#forward#1986#khimki
jr holden#1.85#guard#1976#cska moscow
sergei bykov#1.90#guard#1983#dynamo moscow
andrei kirilenko#2.05#forward#1981#utah jazz
nikita morgunov#2.11#forward#1975#triumph lyubertsy
petr samoylenko#1.86#guard#1977#dynamo moscow
viktor khryapa#2.04#forward#1982#chicago bulls
zakhar pashutin#1.95#guard#1974#cska moscow
sergei monya#2.04#forward#1983#dynamo moscow
anton ponkrashov#2.00#guard#1986#khimki
alexei savrasenko#2.15#center#1979#cska moscow
nikolai padius#1.97#guard#1980#unics kazan
