season#winner#team#goals#assists#points
2009#dan watt#winnipeg saints#62#74#136
2008#bryan kauk#dauphin kings#46#72#118
2007#kyle howarth#selkirk steelers#38#103#141
2006#joey moggach#dauphin kings#55#63#118
2005#a.j. tucker#waywayseecappo wolverines#27#55#82
2004#aaron starr#ocn blizzard#59#59#118
2001#lee stubbs#winnipeg saints#43#67#110
1999#konrad mckay#ocn blizzard#na#na#na
1998#jedd crumb#winnipeg south blues#61#51#112
1997#chris thomas#winkler flyers#na#na#na
1995#cory cyrenne#st. boniface saints#35#77#112
1994#ryan smith#st. james canadians#58#67#125
1992#jamie penner#winkler flyers#na#na#na
1985#brian thompson#dauphin kings#53#57#110
1983#mike ridley#st. boniface saints#91#100#191
1981#darren boyko#st. boniface saints#48#68#116
1977#ken krentz#selkirk steelers#35#93#128
1976#ken krentz#selkirk steelers#45#61#109
1975#jim misener#dauphin kings#73#62#135
1974#steve ford#portage terriers#33#58#91
1973#charlie simmer#kenora muskies#43#68#111
1972#kim murphy#kenora muskies#40#51#91
1971#dan tremblay#dauphin kings#37#72#109
1970#ken george#kenora muskies#39#41#80
1969#dennis schick#dauphin kings#34#50#84
1968#wayne chernecki#west kildonan north stars#42#35#77
1967#bobby clarke#flin flon bombers#71#112#183
1966#terry jones#winnipeg rangers#43#48#91
1965#ken sucharski#winnipeg rangers#35#37#72
1964#john vopni#brandon wheat kings#35#35#70
1963#bob stoyko#brandon wheat kings#28#40#68
1962#gerry kell#brandon wheat kings#29#53#82
1961#george hill#brandon wheat kings#45#38#83
1960#george hill#brandon wheat kings#31#31#62
1959#laurie langrell#winnipeg braves#42#21#63
1958#gord labossiere#transcona rangers#44#35#79
1957#ray brunel#st. boniface canadiens#57#48#105
1956#ray brunel#st. boniface canadiens#na#na#na
1955#art stratton#winnipeg barons#50#26#76
1955#gordon stratton#winnipeg barons#39#37#76
1954#ab mcdonald#st. boniface canadiens#33#25#58
1953#ross jones#brandon wheat kings#31#26#57
1952#del topoll#brandon wheat kings#24#28#52
1951#ron rohmer#brandon wheat kings#37#36#73
1950#reg abbott#brandon wheat kings#27#27#54
1949#bill mccracken#winnipeg monarchs#na#na#na
1948#odie lowe#winnipeg canadiens#23#28#51
1947#ray manson#winnipeg rangers#22#19#41
1946#don raleigh#brandon elks#24#24#48
1943#mike yaschuk#st. boniface athletics#na#na#na
1942#lin bend#portage terriers#27#31#58
1940#bill benson#winnipeg monarchs#19#20#39
1938#terry reardon#brandon wheat kings#29#16#45
1937#william meronek#portage terriers#21#20#41
1935#babe pratt#kenora thistles#19#23#42
1934#babe pratt#kenora thistles#14#7#21
1933#bryan hextall#portage terriers#10#8#18
