rank#movie#year#studio (s)#second week nett gross
1#3 idiots#2009#vinod chopra productions#56 , 24 , 00000
2#yeh jawaani hai deewani#2013#dharma productions#44 , 78 , 00000
3#chennai express#2013#red chillies entertainment#43 , 85 , 00000
4#dabangg 2#2012#arbaaz khan productions#36 , 51 , 00000
5#dabangg#2010#arbaaz khan productions#35 , 97 , 00000
6#rowdy rathore#2012#utv motion pictures#33 , 15 , 00000
7#ready#2008#t - series#32 , 52 , 00000
8#golmaal 3#2010#shree ashtavinayak cine vision ltd#31 , 92 , 00000
9#housefull 2#2012#nadiadwala grandson entertainment#31 , 24 , 00000
10#ek tha tiger#2012#yash raj films#29 , 49 , 00000
