season#timeslot#premiere#finale#tv season#ranking#viewers (in millions)
1st#wednesday 8:30 pm#october 3 , 2001#may 15 , 2002#2001 - 2002#55#10.0
2nd#tuesday 8:30 pm#october 1 , 2002#may 20 , 2003#2002 - 2003#51#10.3
3rd#tuesday 9:00 pm#september 23 , 2003#may 25 , 2004#2003 - 2004#51#10.0
4th#tuesday 9:00 pm#september 21 , 2004#may 17 , 2005#2004 - 2005#47#10.0
5th#tuesday 8:00 pm#september 20 , 2005#may 2 , 2006#2005 - 2006#90#6.7
6th#wednesday 9:00 pm#january 3 , 2007#may 16 , 2007#2006 - 2007#119#6.8
7th#tuesday 9:00 pm#january 1 , 2008#march 11 , 2008#2007 - 2008#146#5.3
7th#tuesday 8:30 pm#april 15 , 2008#may 27 , 2008#2007 - 2008#171#4.1
8th#tuesday 9:00 pm#december 2 , 2008#december 30 , 2008#2008 - 2009#104#5.6
8th#tuesday 9:30 pm#december 2 , 2008#december 30 , 2008#2008 - 2009#127#4.8
8th#tuesday 8:00 pm#april 14 , 2009#june 2 , 2009#2008 - 2009#148#3.8
8th#tuesday 8:30 pm#april 14 , 2009#june 2 , 2009#2008 - 2009#149#3.8
