date#city#result#score#competition
february 6 , 2008#dublin#w#1 - 0#international friendly
march 26 , 2008#london#w#1 - 0#international friendly
may 31 , 2008#seattle#w#3 - 2#international friendly
june 6 , 2008#boston#l#0 - 2#international friendly
june 15 , 2008#asunción#l#0 - 2#world cup qualifying
june 18 , 2008#belo horizonte#d#0 - 0#world cup qualifying
september 7 , 2008#santiago#w#3 - 0#world cup qualifying
september 10 , 2008#rio de janeiro#d#0 - 0#world cup qualifying
october 12 , 2008#san cristóbal#w#4 - 0#world cup qualifying
october 15 , 2008#rio de janeiro#d#0 - 0#world cup qualifying
november 19 , 2008#brasília#w#6 - 2#international friendly
