rank#nation#gold#silver#bronze#total
1#united states (usa)#89#88#60#237
2#austria (aut)#88#82#83#253
3#germany (ger)#46#30#34#110
4#switzerland (sui)#41#39#24#104
5#france (fra)#30#33#30#93
6#west germany (frg)#25#20#22#67
7#canada (can)#21#35#35#91
8#new zealand (nzl)#15#5#7#27
9#spain (esp)#14#12#9#35
10#australia (aus)#11#6#11#28
11#sweden (swe)#10#12#9#31
12#italy (ita)#8#16#20#44
13#slovakia (svk)#6#12#15#33
14#norway (nor)#6#4#2#12
15#czech republic (cze)#5#5#5#15
16#japan (jpn)#4#10#16#30
17#czechoslovakia (tch)#3#4#1#8
18#russia (rus)#2#0#3#5
19#great britain (gbr)#0#1#9#10
20#denmark (den)#0#1#0#1
20#south korea (kor)#0#1#0#1
22#poland (pol)#0#0#7#7
23#belgium (bel)#0#0#1#1
23#liechtenstein (lie)#0#0#1#1
23#yugoslavia (yug)#0#0#1#1
total 25 nations#total 25 nations#424#416#405#1245
