game#date#team#score#high points#high rebounds#location attendance#record
48#february 3#san antonio#w 104 - 96 (ot)#carmelo anthony (35)#nenê (11)#pepsi center 18536#32 - 16
49#february 4#oklahoma city#w 114 - 113 (ot)#carmelo anthony (32)#nenê (8)#ford center 18332#33 - 16
50#february 6#washington#w 124 - 103 (ot)#carmelo anthony (23)#nenê (10)#verizon center 20173#34 - 16
51#february 7#new jersey#l 70 - 114 (ot)#carmelo anthony (15)#nenê (7)#izod center 17697#34 - 17
52#february 10#miami#w 99 - 82 (ot)#chauncey billups (23)#kenyon martin (10)#american airlines arena 16784#35 - 17
53#february 11#orlando#w 82 - 73 (ot)#carmelo anthony (29)#carmelo anthony (8)#amway arena 17461#36 - 17
54#february 18#philadelphia#w 101 - 89 (ot)#carmelo anthony (26)#carmelo anthony (14)#wachovia center 15979#37 - 17
55#february 20#chicago#l 99 - 116 (ot)#chauncey billups (25)#carmelo anthony (8)#united center 21970#37 - 18
56#february 22#milwaukee#l 117 - 120 (ot)#carmelo anthony (33)#carmelo anthony (9)#bradley center 14891#37 - 19
57#february 23#boston#l 76 - 114 (ot)#j r smith (19)#johan petro (10)#pepsi center 19784#37 - 20
58#february 25#atlanta#w 110 - 109 (ot)#chauncey billups (33)#chris andersen (12)#pepsi center 18418#38 - 20
59#february 27#la lakers#w 90 - 79 (ot)#chauncey billups , j r smith (22)#carmelo anthony , chris andersen (12)#pepsi center 19920#39 - 20
