title#series#director#release date#characters
the astroduck#lt#robert mckimson#1966 - 01 - 01#daffy , speedy
shot and bothered#lt#rudy larriva#1966 - 01 - 08#wile e , road runner
out and out rout#mm#rudy larriva#1966 - 01 - 29#wile e , road runner
mucho locos#mm#robert mckimson#1966 - 02 - 05#daffy , speedy
the solid tin coyote#lt#rudy larriva#1966 - 02 - 19#wile e , road runner
mexican mousepiece#mm#robert mckimson#1966 - 02 - 26#daffy , speedy
clippety clobbered#lt#rudy larriva#1966 - 03 - 12#wile e , road runner
daffy rents#lt#robert mckimson#1966 - 03 - 26#daffy , speedy
a - haunting we will go#lt#robert mckimson#1966 - 04 - 16#daffy , speedy , witch hazel
snow excuse#mm#robert mckimson#1966 - 05 - 21#daffy , speedy
a squeak in the deep#lt#robert mckimson#1966 - 07 - 19#daffy , speedy
feather finger#mm#robert mckimson#1966 - 08 - 20#daffy , speedy
swing ding amigo#lt#robert mckimson#1966 - 09 - 17#daffy , speedy
sugar and spies#lt#robert mckimson#1966 - 11 - 05#wile e , road runner
a taste of catnip#mm#robert mckimson#1966 - 12 - 03#daffy , speedy , sylvester
