place#player#country#score#to par
t1#nick faldo#england#68 + 73 = 141#- 3
t1#lee trevino#united states#67 + 74 = 141#- 3
t3#seve ballesteros#spain#71 + 72 = 143#- 1
t3#ben crenshaw#united states#71 + 72 = 143#- 1
t3#ken green#united states#74 + 69 = 143#- 1
t3#scott hoch#united states#69 + 74 = 143#- 1
t3#mike reid#united states#72 + 71 = 143#- 1
8#tom kite#united states#72 + 72 = 144#e
t9#mark o'meara#united states#74 + 71 = 145#+ 1
t9#curtis strange#united states#74 + 71 = 145#+ 1
t9#tom watson#united states#72 + 73 = 145#+ 1
