game#date#team#score#high points#high rebounds#high assists#location attendance#record
1#november 1#new york#l 99 - 107 (ot)#damon stoudamire (28)#popeye jones (9)#damon stoudamire (10)#skydome 28457#0 - 1
2#november 2#charlotte#l 98 - 109 (ot)#damon stoudamire (19)#carlos rogers (8)#damon stoudamire (5)#charlotte coliseum 24042#0 - 2
3#november 5#dallas#w 100 - 96 (ot)#walt williams (34)#carlos rogers (12)#damon stoudamire (8)#skydome 17065#1 - 2
4#november 8#la lakers#w 93 - 92 (ot)#damon stoudamire (21)#damon stoudamire (10)#damon stoudamire (10)#skydome 27357#2 - 2
5#november 11#denver#l 93 - 104 (ot)#marcus camby (26)#carlos rogers (9)#damon stoudamire (6)#skydome 17132#2 - 3
6#november 13#philadelphia#w 110 - 98 (ot)#marcus camby (23)#popeye jones (14)#damon stoudamire (12)#skydome 17385#3 - 3
7#november 14#new york#l 96 - 99 (ot)#marcus camby (29)#popeye jones (8)#damon stoudamire (13)#madison square garden 19763#3 - 4
8#november 16#orlando#l 87 - 92 (ot)#walt williams (29)#doug christie (7)#damon stoudamire (5)#orlando arena 17248#3 - 5
9#november 19#seattle#l 98 - 106 (ot)#doug christie (31)#popeye jones (11)#marcus camby (4)#skydome 18803#3 - 6
10#november 21#cleveland#l 81 - 89 (ot)#damon stoudamire (24)#acie earl (8)#damon stoudamire (6)#skydome 16835#3 - 7
11#november 23#atlanta#l 88 - 91 (ot)#damon stoudamire (22)#popeye jones (9)#damon stoudamire (8)#skydome 16838#3 - 8
12#november 26#sacramento#l 87 - 98 (ot)#damon stoudamire (27)#popeye jones (16)#damon stoudamire (6)#skydome 15037#3 - 9
13#november 27#charlotte#w 92 - 88 (ot)#walt williams (23)#popeye jones (18)#damon stoudamire (6)#skydome 15710#4 - 9
