date#venue#score#result#competition
december 11 , 2002#petaling jaya , malaysia#5 - 0#win#friendly
december 18 , 2002#singapore , singapore#0 - 4#win#2002 tiger cup group stage
december 20 , 2002#singapore , singapore#3 - 1#win#2002 tiger cup group stage
december 29 , 2002#singapore , singapore#2 - 1#lose#2002 tiger cup third / fourth place
october 22 , 2003#manama , bahrain#3 - 1#lose#2004 afc asian cup qualification
august 23 , 2006#shah alam , malaysia#1 - 2#lose#2006 merdeka tournament group stage
july 10 , 2007#kuala lumpur , malaysia#1 - 5#lose#2007 afc asian cup group stage
july 22 , 2008#hyderabad , india#1 - 1#draw#friendly
october 15 , 2008#kelana jaya , malaysia#4 - 0#win#2008 merdeka tournament
october 23 , 2008#kuala lumpur , malaysia#4 - 0#win#2008 merdeka tournament
december 6 , 2008#phuket , thailand#3 - 0#win#2008 aff suzuki cup
december 8 , 2008#phuket , thailand#2 - 3#lose#2008 aff suzuki cup
