rank (csa)#state (s)#2007 estimate#2000 population#percent change (1990 - 2000)
4#tx#0 6498410#0 5487956#a011 + 18.41%
22#mo - ks#0 2053928#0 1901070#a042 + 8.04%
(msa 28)#tx#0 1990675#0 1711721#a088 + 16.30%
(msa 37)#tx#0 1598161#0 1249748#a018 + 27.88%
34#ok#0 1262027#0 1160942#a034 + 8.71%
44#ok#00 , 955643#00 , 908528#a063 + 5.19%
56#ks#00 , 630703#00 , 607457#a075 + 3.83%
(msa 131)#tx#00 , 378935#00 , 330714#a075 + 14.58%
(msa 189)#ks#00 , 228692#00 , 224551#a560 + 1.84%
(msa 190)#tx#00 , 228123#00 , 213517#a299 + 6.84%
(msa 271)#tx#00 , 148148#00 , 151524#a788 - 2.23%
(msa 343)#ok#00 , 113811#00 , 114996#a730 - 1.03%
(msa 348)#ks#00 , 113488#99962#a117 + 13.53%
(μsa 449)#ok#79931#68190#a078 + 17.22%
(μsa 512)#ks#63145#64790#a805 - 2.54%
(μsa 549)#ok#57657#57813#a691 - 0.27%
(μsa 559)#ok#56694#54452#a426 + 4.12%
(μsa 639)#ok#45638#48080#a890 - 5.08%
(μsa 642)#ok#45393#42521#a304 + 6.75%
(μsa 662)#ok#43322#43182#a645 + 0.32%
(μsa 704)#ok#39563#36534#a239 + 8.29%
(μsa 717)#ks#38863#38965#a690 - 0.26%
(μsa 718)#ks#38860#38242#a578 + 1.62%
