rank#islands name#area (sqmi)#area (km 2 )#location#population (2000)
1#hawai i (big island)#4028#10433#hawaii#148677
2#kodiak island#3588#9293#alaska#13913
3#puerto rico#3515#9104#puerto rico#3808610
4#prince of wales island#2577#6675#alaska#6000 ≈
5#chichagof island#2080#5388#alaska#1342
6#st lawrence island#1983#5135#alaska#1292
7#admiralty island#1684#4362#alaska#650
8#nunivak island#1625#4209#alaska#210
9#unimak island#1590#4119#alaska#64
10#baranof island#1570#4065#alaska#8532
11#long island#1401#3629#new york#7448618
12#revillagigedo island#1145#2965#alaska#13950
13#kupreanof island#1086#2813#alaska#785
14#unalaska island#1051#2722#alaska#1759
15#nelson island#843#2183#alaska#1065
16#kuiu island#758#1962#alaska#10
17#maui#727#1883#hawaii#117644
18#afognak#698#1809#alaska#169
19#umnak#692#1793#alaska#39
20#o ahu#597#1545#hawaii#876151
21#kaua i#552#1430#hawaii#58303
22#atka island#410#1061#alaska#95
23#attu island#346#896#alaska#20
24#etolin island#336#870#alaska#15
25#adak island#280#725#alaska#316
26#montague island#279#722#alaska#0
27#moloka i#260#673#hawaii#7404
