rank#nation#gold#silver#bronze#total
1#france (fra)#7#5#1#13
2#netherlands (ned)#7#2#5#14
3#great britain (gbr)#6#4#1#11
4#australia (aus)#4#5#4#13
5#italy (ita)#4#1#1#6
6#united states (usa)#3#5#5#13
7#germany (ger)#3#5#2#10
8#russia (rus)#2#2#5#9
9#canada (can)#1#2#3#6
10#new zealand (nzl)#1#1#0#2
11#colombia (col)#1#0#1#2
11#soviet union (urs)#1#0#1#2
13#estonia (est)#1#0#0#1
13#norway (nor)#1#0#0#1
15#china (chn)#0#3#3#6
15#switzerland (sui)#0#1#2#3
17#west germany (frg)#0#1#1#2
18#cuba (cub)#0#1#0#1
18#east germany (gdr)#0#1#0#1
18#mexico (mex)#0#1#0#1
18#poland (pol)#0#1#0#1
18#sweden (swe)#0#1#0#1
23#spain (esp)#0#0#2#2
23#ukraine (ukr)#0#0#2#2
25#belarus (blr)#0#0#1#1
25#hong kong (hkg)#0#0#1#1
25#lithuania (ltu)#0#0#1#1
total#total#42#42#42#126
