station name#opening year#municipality#park and ride lot#free fare zone
station name#opening year#municipality#park and ride lot#free fare zone
northwestern end of line#northwestern end of line#northwestern end of line#northwestern end of line#northwestern end of line
airport#2013#salt lake city#no#no
1940 w north temple#2013#salt lake city#no#no
power#2013#salt lake city#no#no
fairpark#2013#salt lake city#coming#no
jackson / euclid#2013#salt lake city#no#no
north temple bridge / guadalupe#2013#salt lake city#soon#no
arena#1999#salt lake city#no#yes
temple square#1999#salt lake city#no#yes
city center#1999#salt lake city#no#yes
gallivan plaza#1999#salt lake city#no#yes
courthouse#1999#salt lake city#no#yes
900 south#2005#salt lake city#no#no
ballpark#1999#salt lake city#yes#no
central pointe#1999#south salt lake#yes#no
river trail#2011#west valley city#no#no
redwood junction#2011#west valley city#no#no
decker lake#2011#west valley city#yes#no
west valley central#2011#west valley city#yes#no
southwestern end of the line#southwestern end of the line#southwestern end of the line#southwestern end of the line#southwestern end of the line
