name#status#population#district#former local authority
barnsley#unparished area#65188#barnsley#barnsley county borough
billingley#civil parish#177#barnsley#hemsworth rural district
brierley#town#5973#barnsley#hemsworth rural district
cawthorne#civil parish#1108#barnsley#penistone rural district
cudworth#unparished area#9099#barnsley#cudworth urban district
darfield#unparished area#7178#barnsley#darfield urban district
darton#unparished area#21596#barnsley#darton urban district
dearne#unparished area#22070#barnsley#dearne urban district
dodworth#unparished area#5742#barnsley#dodworth urban district
dunford#civil parish#627#barnsley#penistone rural district
great houghton#civil parish#2261#barnsley#hemsworth rural district
gunthwaite and ingbirchworth#civil parish#400#barnsley#penistone rural district
high hoyland#civil parish#142#barnsley#penistone rural district
hoyland nether#unparished area#14419#barnsley#hoyland nether urban district
hunshelf#civil parish#324#barnsley#penistone rural district
langsett#civil parish#161#barnsley#penistone rural district
little houghton#civil parish#618#barnsley#hemsworth rural district
oxspring#civil parish#1048#barnsley#penistone rural district
penistone#town#10101#barnsley#penistone urban district
royston#unparished area#10038#barnsley#royston urban district
shafton#civil parish#2840#barnsley#hemsworth rural district
silkstone#civil parish#2954#barnsley#penistone rural district
stainborough#civil parish#399#barnsley#penistone rural district
tankersley#civil parish#1414#barnsley#wortley rural district
thurgoland#civil parish#1801#barnsley#penistone rural district
wombwell#unparished area#16522#barnsley#wombwell urban district
worsbrough#unparished area#13284#barnsley#worsbrough urban district
wortley#civil parish#579#barnsley#wortley rural district
adwick le street#unparished area#18656#doncaster#adwick le street urban district
adwick upon dearne#civil parish#351#doncaster#doncaster rural district
armthorpe#civil parish#12630#doncaster#doncaster rural district
askern#town#5434#doncaster#doncaster rural district
auckley#civil parish#3266#doncaster#doncaster rural district
austerfield#civil parish#571#doncaster#doncaster rural district
barnburgh#civil parish#1979#doncaster#doncaster rural district
barnby dun with kirk sandall#civil parish#8524#doncaster#doncaster rural district
bawtry#town#3204#doncaster#doncaster rural district
bentley with arksey#unparished area#20545#doncaster#bentley with arksey urban district
blaxton#civil parish#1179#doncaster#doncaster rural district
braithwell#civil parish#1056#doncaster#doncaster rural district
brodsworth#civil parish#2875#doncaster#doncaster rural district
burghwallis#civil parish#278#doncaster#doncaster rural district
cadeby#civil parish#203#doncaster#doncaster rural district
cantley#civil parish#2830#doncaster#doncaster rural district
clayton with frickley#civil parish#208#doncaster#doncaster rural district
conisbrough#unparished area#15575#doncaster#conisbrough urban district
conisbrough parks#civil parish#385#doncaster#doncaster rural district
denaby#civil parish#326#doncaster#doncaster rural district
doncaster#unparished area#75273#doncaster#doncaster county borough
edenthorpe#civil parish#4752#doncaster#doncaster rural district
edlington#town#8276#doncaster#doncaster rural district
fenwick#civil parish#113#doncaster#doncaster rural district
finningley#civil parish#1442#doncaster#east retford rural district
fishlake#civil parish#628#doncaster#thorne rural district
hampole#civil parish#187#doncaster#doncaster rural district
hatfield#town#16184#doncaster#thorne rural district
hickleton#civil parish#290#doncaster#doncaster rural district
high melton#civil parish#339#doncaster#doncaster rural district
hooton pagnell#civil parish#211#doncaster#doncaster rural district
kirk bramwith#civil parish#200#doncaster#doncaster rural district
loversall#civil parish#128#doncaster#doncaster rural district
marr#civil parish#138#doncaster#doncaster rural district
mexborough#unparished area#14269#doncaster#mexborough urban district
moss#civil parish#290#doncaster#doncaster rural district
norton#civil parish#4381#doncaster#doncaster rural district
owston#civil parish#170#doncaster#doncaster rural district
rossington#civil parish#13255#doncaster#doncaster rural district
sprotbrough and cusworth#civil parish#12166#doncaster#doncaster rural district
stainforth#town#6342#doncaster#thorne rural district
stainton#civil parish#269#doncaster#doncaster rural district
sykehouse#civil parish#438#doncaster#thorne rural district
thorne#town#16592#doncaster#thorne rural district
thorpe in balne#civil parish#176#doncaster#doncaster rural district
tickhill#town#5301#doncaster#tickhill urban district
wadworth#civil parish#1229#doncaster#doncaster rural district
warmsworth#civil parish#3752#doncaster#doncaster rural district
aston cum aughton#civil parish#13961#rotherham#rotherham rural district
bramley#civil parish#8194#rotherham#rotherham rural district
brampton bierlow#civil parish#3658#rotherham#rotherham rural district
brinsworth#civil parish#8950#rotherham#rotherham rural district
catcliffe#civil parish#1766#rotherham#rotherham rural district
dalton#civil parish#9038#rotherham#rotherham rural district
dinnington st john 's#town#9161#rotherham#kiveton park rural district
firbeck#civil parish#317#rotherham#kiveton park rural district
gildingwells#civil parish#115#rotherham#kiveton park rural district
harthill with woodall#civil parish#1909#rotherham#kiveton park rural district
hooton levitt#civil parish#110#rotherham#rotherham rural district
hooton roberts#civil parish#181#rotherham#rotherham rural district
laughton en le morthen#civil parish#1185#rotherham#rotherham rural district
letwell#civil parish#111#rotherham#kiveton park rural district
maltby#town#17247#rotherham#maltby urban district
north and south anston#civil parish#9559#rotherham#kiveton park rural district
orgreave#civil parish#761#rotherham#rotherham rural district
ravenfield#civil parish#2018#rotherham#rotherham rural district
rawmarsh#unparished area#18720#rotherham#rawmarsh urban district
rotherham#unparished area#117262#rotherham#rotherham county borough
swinton#unparished area#12848#rotherham#swinton urban district
thorpe salvin#civil parish#502#rotherham#kiveton park rural district
thrybergh#civil parish#4327#rotherham#rotherham rural district
thurcroft#civil parish#5296#rotherham#rotherham rural district
todwick#civil parish#1637#rotherham#kiveton park rural district
treeton#civil parish#2514#rotherham#rotherham rural district
ulley#civil parish#182#rotherham#rotherham rural district
wales#civil parish#6455#rotherham#kiveton park rural district
wath upon dearne#unparished area#14903#rotherham#wath upon dearne urban district
wentworth#civil parish#1223#rotherham#rotherham rural district
whiston#civil parish#5115#rotherham#rotherham rural district
wickersley#civil parish#7235#rotherham#rotherham rural district
woodsetts#civil parish#1802#rotherham#kiveton park rural district
bradfield#civil parish#14915#sheffield#wortley rural district
ecclesfield#civil parish#31609#sheffield#wortley rural district
sheffield#unparished area#453047#sheffield#sheffield county borough
stocksbridge#town#13663#sheffield#stocksbridge urban district
