place#player#country#score#to par
1#vijay singh#fiji#67#- 5
2#rocco mediate#united states#68#- 4
3#arron oberholser#united states#69#- 3
t4#tim clark#south africa#70#- 2
t4#retief goosen#south africa#70#- 2
t4#phil mickelson#united states#70#- 2
t4#geoff ogilvy#australia#70#- 2
t8#stuart appleby#australia#71#- 1
t8#rich beem#united states#71#- 1
t8#chad campbell#united states#71#- 1
t8#fred couples#united states#71#- 1
t8#ben crenshaw#united states#71#- 1
t8#ben curtis#united states#71#- 1
t8#ernie els#south africa#71#- 1
t8#david howell#england#71#- 1
t8#billy mayfair#united states#71#- 1
t8#nick o'hern#australia#71#- 1
t8#mike weir#canada#71#- 1
