country#skip#w#l#pf#pa#ends won#ends lost#blank ends#stolen ends#shot pct
canada#jeff stoughton#10#1#84#49#47#37#17#11#90
scotland#tom brewster#9#2#72#54#42#38#22#10#83
sweden#niklas edin#7#4#81#58#50#39#9#13#90
norway#thomas ulsrud#7#4#64#63#47#42#18#13#84
france#thomas dufour#7#4#75#64#48#37#10#13#83
germany#andy kapp#6#5#71#64#48#46#13#11#80
switzerland#christof schwaller#6#5#68#67#47#43#15#16#85
czech republic#jiri snã­til#5#6#58#72#38#43#14#7#81
china#chen lu'an#4#7#51#71#35#47#24#4#83
united states#pete fenson#3#8#59#67#40#47#14#9#85
south korea#lee dong - keun#2#9#61#85#39#47#13#7#80
