season#record#pct#games#attendance#average#sellouts
2011 - 12#13 - 3#813#16#162474#10155#10
2010 - 11#15 - 1#933#16#151475#10098#9
2009 - 10#15 - 0#1.000#15#151843#10123#7
2008 - 09#14 - 1#933#15#151456#10097#11
2007 - 08#16 - 1#941#17#170133#10008#9
2006 - 07#14 - 1#933#15#148650#9910#5
2005 - 06#11 - 4#733#15#146615#9775#4
2004 - 05#12 - 4#750#16#160429#10027#7
2003 - 04#13 - 3#813#16#158432#9902#8
2002 - 03#14 - 1#933#15#152714#10181#14
2001 - 02#13 - 1#929#14#143129#10224#13
2000 - 01#13 - 1#929#14#141011#10072#12
