position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#rcd mallorca#30#40#16#8#6#44#22#+ 22
2#córdoba cf#30#39#18#3#9#52#24#+ 28
3#real jaén#30#37#17#3#10#54#37#+ 17
4#ad plus ultra#30#35#12#11#7#58#43#+ 15
5#rayo vallecano#30#33#15#3#12#47#40#+ 7
6#levante ud#30#33#15#3#12#57#51#+ 6
7#real murcia#30#32#11#10#9#37#34#+ 3
8#atlético ceuta#30#31#13#5#12#41#36#+ 5
9#cd san fernando#30#28#12#4#14#44#48#- 4
10#cd tenerife#30#28#11#6#13#41#48#- 7
11#cd mestalla#30#28#13#2#15#40#42#- 2
12#cf extremadura#30#27#10#7#13#50#49#+ 1
13#recreativo de huelva#30#25#9#7#14#41#58#- 17
14#cádiz cf#30#23#9#5#16#43#55#- 12
15#ca almería#30#23#7#9#14#24#57#- 33
16#cd badajoz#30#18#7#4#19#37#66#- 29
