rider#manufacturer#laps#time / retired#grid
manuel poggiali#aprilia#19#41:36.284#23
hiroshi aoyama#honda#19#+ 1.373#1
yuki takahashi#honda#19#+ 1.496#7
sebastián porto#honda#19#+ 1.700#6
franco battaini#aprilia#19#+ 11.771#16
fonsi nieto#aprilia#19#+ 13.220#9
roberto rolfo#honda#19#+ 13.497#4
naoki matsudo#yamaha#19#+ 14.027#5
tekkyu kayoh#yamaha#19#+ 24.546#12
sylvain guintoli#aprilia#19#+ 42.722#8
alex debón#honda#19#+ 43.246#3
erwan nigon#aprilia#19#+ 47.871#21
joan olivé#aprilia#19#+ 1:09.405#30
johan stigefelt#aprilia#19#+ 1:09.779#13
jakub smrž#honda#19#+ 1:21.048#10
eric bataille#honda#19#+ 1:21.788#28
jaroslav huleš#yamaha#19#+ 1:35.538#15
chaz davies#aprilia#19#+ 1:38.489#29
henk vd lagemaat#honda#19#+ 1:41.507#25
katja poensgen#honda#18#+ 1 lap#26
héctor faubel#aprilia#18#accident#18
christian gemmel#honda#17#accident#24
alex baldolini#aprilia#17#retirement#11
anthony west#aprilia#15#accident#17
toni elías#aprilia#14#retirement#27
katsuyuki nakasuga#yamaha#10#accident#2
randy de puniet#aprilia#4#retirement#20
dirk heidolf#aprilia#0#accident#19
tomoyoshi koyama#yamaha#0#accident#22
hugo marchand#aprilia#0#retirement#14
