storm name#dates active#max 1 - min wind mph (km / h)#min press ( mbar )#damage (millions usd )#deaths
one#may 5 - may 10#65 (100)#995#none#none
two#august 12 - august 15#150 (240)#935#7.5#40
three#august 26 - september 2#85 (140)#979#0.226#(1)
four#august 30 - september 9#160 (260)#≤921#unknown#16
five#september 4 - september 7#70 (110)#992#none#none
six#september 9 - september 15#60 (95)#999#0.02#none
seven#september 16 - september 22#65 (100)#994#unknown#none
eight#september 18 - september 20#65 (100)#998#unknown#none
nine#september 25 - october 2#145 (230)#943#30#>225
ten#september 28 - september 30#45 (75)#1004#none#none
eleven#october 7 - october 15#70 (110)#990#unknown#none
twelve#october 8 - october 12#60 (95)#997#unknown#none
thirteen#october 18 - october 21#70 (110)#999#none#none
fourteen#october 30 - november 14#175 (280)#≤915#40#>3103
fifteen#november 3 - november 10#100 (155)#973#unknown#none
season aggregates#season aggregates#season aggregates#season aggregates#season aggregates#season aggregates
15 cyclones#may 5 - november 10#175 (280)#≤915#77.706#>3384 (1)
