driver#car#make#points#laps#winnings
jimmie johnson#48#chevrolet#190#500#198736
jeff gordon#24#chevrolet#175#500#153861
denny hamlin#11#chevrolet#170#500#139125
kyle busch#5#chevrolet#165#500#105375
dale earnhardt jr#8#chevrolet#165#500#141833
jeff burton#31#chevrolet#150#500#119316
tony stewart#20#chevrolet#151#500#124486
scott riggs#10#dodge#142#500#89275
jamie mcmurray#26#ford#138#500#88525
matt kenseth#17#ford#139#500#130266
clint bowyer#7#chevrolet#130#500#84325
kurt busch#2#dodge#127#500#114858
ricky rudd#88#ford#124#500#107383
ryan newman#12#dodge#121#500#107175
david ragan#6#ford#118#500#113250
juan montoya#42#dodge#115#500#109850
carl edwards#99#ford#112#500#82050
reed sorenson#41#dodge#109#500#100083
ken schrader#21#ford#106#500#95239
tony raines#96#chevrolet#103#500#84550
sterling marlin#14#chevrolet#100#500#88558
kyle petty#45#dodge#97#499#86258
jj yeley#18#chevrolet#94#499#100958
elliott sadler#19#dodge#96#498#89845
kasey kahne#9#dodge#88#498#115366
regan smith#01#chevrolet#85#498#91083
joe nemechek#13#chevrolet#82#497#67700
dale jarrett#44#toyota#79#496#67500
martin truex jr#1#chevrolet#81#496#96670
mike bliss#49#dodge#73#493#79747
johnny sauter#70#chevrolet#70#493#67050
greg biffle#16#ford#67#492#84925
david reutimann#00#toyota#64#491#67650
robby gordon#7#ford#61#490#66575
david stremme#40#dodge#58#490#66525
jeff green#66#chevrolet#55#487#74475
dave blaney#22#toyota#52#485#74400
aj allmendinger#84#toyota#49#483#66350
david gilliland#38#ford#46#469#93514
jeremy mayfield#36#toyota#43#451#66225
kevin harvick#29#chevrolet#40#445#114911
casey mears#25#chevrolet#37#371#74115
bobby labonte#43#dodge#34#265#102409
