institution#nickname#location#founded#type#enrollment
alice lloyd college#eagles#pippa passes , kentucky#1923#private#600
asbury university#eagles#wilmore , kentucky#1890#private#1300
berea college#mountaineers#berea , kentucky#1855#private#1514
brescia university#bearcats#owensboro , kentucky#1950#private#750
carlow university 1#celtics#pittsburgh , pennsylvania#1929#private#2400
cincinnati christian university#eagles#cincinnati , ohio#1924#private#1100
indiana university east#red wolves#richmond , indiana#1971#public#2700
indiana university kokomo#cougars#kokomo , indiana#1945#public#3719
indiana university southeast#grenadiers#new albany , indiana#1941#public#6840
midway college 1#eagles#midway , kentucky#1847#private#1800
point park university#pioneers#pittsburgh , pennsylvania#1960#private#3376
