player#solo#total#sacks#fumble force#fumble rec
anthony gebhart#15#31#0#0#0
cj wilson#10#26#0#1#0
dustin duclo#13#25#0#0#0
boston mccornell#8#23#½#1#0
londen fryar#15#26#0#0#0
e j biggers#12#16#0#1#1
zach davidson#6#15#1½#0#0
nick varcadipane#3#12#0#0#0
austin pritchard#5#11#0#0#0
mark berghuis#4#8#½#1#0
justin braska#3#8#½#0#0
cody cielenski#4#8#½#0#0
greg marshall#2#8#½#0#0
andy dorcely#5#7#0#0#0
cory flom#1#7#0#0#0
harrison porter#1#7#0#0#0
desman stephen#2#5#0#0#0
cornelius robinson#1#4#0#0#0
mario armstrong#3#4#0#0#0
matt pickens#1#3#0#0#0
scott gajos#2#3#0#0#0
grant nemeth#0#3#0#0#0
garrett sosnovich#1#3#0#0#0
fernand kashama#1#2#0#0#0
louis delmas#1#2#0#0#0
brandon west#2#2#0#0#0
antwain allen#0#1#0#0#0
nic saad#0#1#0#0#0
herb martin#1#1#0#0#0
mike jones#1#1#0#0#0
glenis thompson#1#1#0#0#0
phillip thompson#1#1#0#0#0
jim laney#1#1#0#0#0
phillip swanson#1#1#0#0#0
kirk elsworth#1#1#0#0#0
tom harrington#0#0#0#0#1
