conference#of bids#record#win %#round of 32#sweet sixteen#elite eight#final four#championship game
southeastern#6#10 - 6#625#5#3#1#1#-
big ten#5#9 - 5#643#4#2#2#1#-
pacific - 10#5#8 - 5#615#4#2#2#-#-
southwest#4#5 - 4#556#3#2#-#-#-
big eight#4#3 - 4#429#2#1#-#-#-
atlantic coast#3#9 - 2#818#3#2#1#1#1
atlantic 10#3#1 - 3#250#1#-#-#-#-
sun belt#2#6 - 2#750#2#1#1#1#1
big east#2#5 - 2#714#2#2#1#-#-
metro#2#2 - 2#500#1#1#-#-#-
missouri valley#2#2 - 2#500#2#-#-#-#-
big sky#2#1 - 2#333#1#-#-#-#-
big west#2#0 - 2#-#-#-#-#-#-
great midwest#2#0 - 2#-#-#-#-#-#-
mid - continent#2#0 - 2#-#-#-#-#-#-
west coast#2#0 - 2#-#-#-#-#-#-
colonial#1#1 - 1#500#1#-#-#-#-
western athletic#1#1 - 1#500#1#-#-#-#-
