kansas state vs#games played#overall record#last 5 meetings#last 10 meetings#current streak#last meeting
wichita state#31#ksu , 20 - 11#ksu , 3 - 2#ksu , 6 - 4#w 2#12 / 10 / 2003
indiana#31#iu , 19 - 12#iu , 5 - 0#iu , 9 - 1#l 9#11 / 23 / 1998
drake#26#ksu , 20 - 6#ksu , 4 - 1#ksu , 8 - 2#w 1#12 / 18 / 1956
saint louis#17#slu , 9 - 8#ksu , 4 - 1#ksu , 6 - 4#l 1#1 / 3 / 2004
umkc#17#ksu , 16 - 1#ksu , 4 - 1#ksu , 9 - 1#w 2#12 / 29 / 2012
creighton#15#cu , 8 - 7#ksu , 4 - 1#ksu , 7 - 3#w 2#12 / 5 / 1987
minnesota#15#um , 8 - 7#um , 3 - 2#tied , 5 - 5#w 1#12 / 16 / 1989
washington#15#ksu , 9 - 6#uw , 3 - 2#uw , 6 - 4#l 1#12 / 9 / 1995
arizona#13#ksu , 8 - 5#ksu , 3 - 2#tied , 5 - 5#l 2#11 / 16 / 1999
colorado state#12#ksu , 7 - 5#csu , 3 - 2#ksu , 6 - 4#l 1#12 / 2 / 2006
arkansas#11#ksu , 8 - 3#ksu , 3 - 2#ksu , 7 - 3#l 2#12 / 10 / 1991
wyoming#11#ksu , 8 - 3#ksu , 5 - 0#ksu , 8 - 2#w 8#12 / 11 / 2004
illinois#10#ill , 8 - 2#ill , 5 - 0#ill , 8 - 2#l 6#12 / 2 / 2000
marquette#10#ksu , 7 - 3#ksu , 4 - 1#ksu , 7 - 3#w 4#1 / 3 / 1988
loyola chicago#9#ksu , 5 - 4#ksu , 4 - 1#ksu , 5 - 4#w 3#11 / 14 / 2011
northern illinois#9#ksu , 8 - 1#ksu , 4 - 1#ksu , 8 - 1#l 1#12 / 20 / 2005
vanderbilt#9#ksu , 5 - 4#van , 3 - 2#ksu , 5 - 4#l 2#3 / 28 / 1994
arizona state#8#tied , 4 - 4#ksu , 4 - 1#tied , 4 - 4#w 2#11 / 24 / 1998
houston#8#ksu , 5 - 3#ksu , 3 - 2#ksu , 5 - 3#w 1#12 / 21 / 1974
iowa#8#tied , 4 - 4#ksu , 3 - 2#tied , 4 - 4#l 2#11 / 29 / 2008
kentucky#8#uk , 8 - 0#uk , 5 - 0#uk , 8 - 0#l 8#11 / 28 / 2008
purdue#8#ksu , 6 - 2#ksu , 3 - 2#ksu , 6 - 2#w 2#11 / 26 / 1988
smu#8#ksu , 6 - 2#ksu , 4 - 1#ksu , 6 - 2#l 1#12 / 29 / 1982
south dakota#8#ksu , 8 - 0#ksu , 5 - 0#ksu , 8 - 0#w 8#12 / 31 / 2012
xavier#8#tied , 4 - 4#xav , 3 - 2#tied , 4 - 4#w 2#3 / 25 / 2010
brigham young#7#ksu , 4 - 3#ksu , 3 - 2#ksu , 4 - 3#w 1#3 / 20 / 2010
california#7#ksu , 6 - 1#ksu , 4 - 1#ksu , 6 - 1#w 1#12 / 9 / 2007
cincinnati#7#cin , 6 - 1#cin , 5 - 0#cin , 6 - 1#l 6#12 / 2 / 1968
northern iowa#7#ksu , 6 - 1#ksu , 4 - 1#ksu , 6 - 1#w 1#12 / 8 / 1984
north texas#7#ksu , 6 - 1#ksu , 5 - 0#ksu , 6 - 1#w 5#3 / 18 / 2010
southern illinois#7#ksu , 7 - 0#ksu , 5 - 0#ksu , 7 - 0#w 7#12 / 22 / 2011
southern mississippi#7#ksu , 4 - 3#ksu , 4 - 1#ksu , 4 - 3#w 3#3 / 15 / 2012
central missouri#6#ksu , 4 - 2#ksu , 4 - 1#ksu , 4 - 2#w 3#1 / 3 / 2005
coppin state#6#ksu , 6 - 0#ksu , 5 - 0#ksu , 6 - 0#w 6#11 / 25 / 2006
depaul#6#tied , 3 - 3#ksu , 3 - 2#tied , 3 - 3#l 1#3 / 19 / 2007
long beach state#6#ksu , 4 - 2#ksu , 4 - 1#ksu , 4 - 2#w 1#12 / 25 / 2011
long island#6#tied , 3 - 3#ksu , 3 - 2#tied , 3 - 3#w 2#12 / 7 / 1993
unlv#6#unlv , 4 - 2#unlv , 4 - 1#unlv , 4 - 2#l 1#12 / 21 / 2010
new mexico#6#ksu , 4 - 2#ksu , 3 - 2#ksu , 4 - 2#w 1#12 / 23 / 2006
san francisco#6#ksu , 4 - 2#ksu , 4 - 1#ksu , 4 - 2#w 4#3 / 12 / 1981
tulsa#6#tul , 5 - 1#tul , 4 - 1#tul , 5 - 1#l 1#1 / 12 / 1990
washington state#6#ksu , 4 - 2#ksu , 4 - 1#ksu , 4 - 2#w 2#12 / 3 / 2010
wisconsin#6#wisc , 4 - 2#wisc , 3 - 2#wisc , 4 - 2#l 2#3 / 19 / 2011
louisville#5#ul , 4 - 1#ul , 4 - 1#ul , 4 - 1#w 1#1 / 3 / 1981
north carolina#5#unc , 4 - 1#unc , 4 - 1#unc , 4 - 1#l 3#12 / 23 / 1989
notre dame#5#nd , 4 - 1#nd , 4 - 1#nd , 4 - 1#l 3#12 / 4 / 2007
oregon state#5#osu , 3 - 2#osu , 3 - 2#osu , 3 - 2#l 1#12 / 6 / 2003
usc#5#ksu , 4 - 1#ksu , 4 - 1#ksu , 4 - 1#w 2#3 / 20 / 2008
utah state#5#ksu , 5 - 0#ksu , 5 - 0#ksu , 5 - 0#w 5#3 / 17 / 2011
