res#record#opponent#method#event#round#time#location
win#15 - 5#aranik montero#submission (heel hook)#fighting marcou arena 2#1#n / a#palavas - les - flots , herault , france
win#14 - 5#gabe rivas#submission (armbar)#king of the cage : turning point#1#2:23#tarzana , california , united states
win#13 - 5#ludwing salazar#submission (ankle lock)#xvt 5: franca vs kheder#1#2:27#cartago , costa rica
loss#12 - 5#albert rios#decision (unanimous)#called out mma ii#3#5:00#ontario , california , united states
loss#12 - 4#tony hervey#ko (punches)#kotc : militia#1#0:12#highland , california , united states
win#12 - 3#eric regan#submission (triangle choke)#ritc 123 - rage in the cage 123#1#2:20#chandler , arizona , united states
win#11 - 3#brad nordquist#submission (rear naked choke)#kotc : goodfellas#1#1:19#albuquerque , new mexico , united states
win#10 - 3#richard villa#submission (rear naked choke)#edp : breaking point#1#n / a#rio rancho , new mexico , united states
win#9 - 3#adrian valdez#submission (guillotine choke)#rage in the cage 113#1#1:35#albuquerque , new mexico , united states
loss#8 - 3#simon marini#decision (unanimous)#ultimate cage wars 12#3#5:00#winnipeg , manitoba , canada
loss#8 - 2#kurt pellegrino#tko (strikes)#ufc fight night 12#2#1:52#las vegas , nevada , united states
loss#8 - 1#roger huerta#tko (punches)#ufc 74#3#1:50#las vegas , nevada , united states
win#8 - 0#jeremy crowe#submission (crucifix)#pnrf : inferno#1#1:03#santa fe , new mexico , united states
win#7 - 0#richie reyes#submission ( omoplata )#pnrf : explosion#1#0:28#santa fe , new mexico , united states
win#6 - 0#john mahlow#submission (choke)#kotc 35: albuquerque#2#2:41#albuquerque , new mexico , united states
win#5 - 0#takuhito hida#submission (armbar)#zst : grand prix - final round#1#1:26#tokyo , japan
win#4 - 0#christian carvalho#submission ( rear naked choke )#rof 10: intensity#1#5:56#castle rock , colorado , united states
win#3 - 0#javier vazquez#decision (split)#kotc 21: invasion#3#5:00#albuquerque , new mexico , united states
win#2 - 0#joe vigil#submission ( triangle choke )#kotc 20: crossroads#1#3:17#bernalillo , new mexico , united states
win#1 - 0#nick shadwick#submission (choke)#kotc 14: new mexico#1#1:39#bernalillo , new mexico , united states
