number#date of debut#name#date of birth#number of caps#number of goals#date of death
55#13 - 03 - 1910#piet van der wolk#18 - 03 - 1892#6#0#23 - 11 - 1952
56#10 - 04 - 1910#arnold hörburger#17 - 02 - 1886#8#0#20 - 02 - 1966
57#16 - 10 - 1910#miel van leijden#20 - 12 - 1885#1#0#04 - 06 - 1949
58#16 - 10 - 1910#nico de wolf#27 - 10 - 1887#5#0#18 - 07 - 1967
59#16 - 10 - 1910#philip van dijk#09 - 08 - 1885#1#0#10 - 04 - 1937
60#16 - 10 - 1910#nol van berckel#22 - 12 - 1890#6#2#08 - 09 - 1973
61#19 - 03 - 1911#just göbel#21 - 11 - 1891#22#0#05 - 05 - 1984
62#19 - 03 - 1911#gé fortgens#10 - 07 - 1887#8#0#04 - 05 - 1957
63#02 - 04 - 1911#guus de seriere#05 - 03 - 1893#2#0#30 - 12 - 1980
64#02 - 04 - 1911#jan van breda kolff#18 - 01 - 1894#11#1#06 - 02 - 1976
65#10 - 03 - 1912#wim bronger#18 - 01 - 1888#1#0#25 - 02 - 1965
66#10 - 03 - 1912#piet valkenburg#08 - 11 - 1888#1#0#10 - 09 - 1950
67#10 - 03 - 1912#huug de groot#07 - 05 - 1890#9#6#18 - 04 - 1957
68#16 - 03 - 1912#jan vos#17 - 04 - 1888#15#10#25 - 08 - 1939
69#16 - 03 - 1912#nico bouvy#11 - 07 - 1892#9#4#14 - 06 - 1957
70#28 - 04 - 1912#gerrit bouwmeester#11 - 08 - 1892#1#0#01 - 02 - 1961
71#29 - 06 - 1912#david wijnveldt#15 - 12 - 1891#13#0#28 - 03 - 1962
72#29 - 06 - 1912#cees ten cate#20 - 08 - 1890#3#1#09 - 06 - 1972
73#30 - 06 - 1912#piet bouman#14 - 10 - 1892#9#0#20 - 07 - 1980
74#30 - 06 - 1912#joop boutmy#29 - 04 - 1894#10#1#26 - 07 - 1972
75#04 - 07 - 1912#jan van der sluis#29 - 04 - 1889#1#2#19 - 10 - 1952
76#17 - 11 - 1912#jur haak#03 - 11 - 1890#2#2#30 - 01 - 1945
77#24 - 03 - 1913#willy westra van holthe#09 - 03 - 1888#4#1#18 - 05 - 1965
78#20 - 04 - 1913#arie bijvoet#27 - 02 - 1891#1#0#12 - 11 - 1976
79#15 - 11 - 1913#wout buitenweg#24 - 12 - 1893#11#14#10 - 11 - 1976
80#15 - 03 - 1914#jan noorduijn#30 - 08 - 1889#4#0#16 - 02 - 1957
81#15 - 03 - 1914#jacques francken#17 - 09 - 1891#1#1#25 - 04 - 1961
82#05 - 04 - 1914#nico buwalda#25 - 06 - 1890#2#0#13 - 06 - 1970
83#17 - 05 - 1914#barend van hemert#10 - 05 - 1891#1#0#unknown
84#17 - 05 - 1914#dolf van der nagel#28 - 05 - 1889#1#0#10 - 10 - 1949
85#09 - 06 - 1919#harry dénis#28 - 08 - 1896#56#0#13 - 07 - 1971
86#09 - 06 - 1919#ben verweij#31 - 08 - 1895#11#0#16 - 07 - 1951
87#09 - 06 - 1919#henk hordijk#19 - 09 - 1893#9#0#19 - 12 - 1975
88#09 - 06 - 1919#piet tekelenburg#06 - 11 - 1894#2#0#01 - 04 - 1945
89#09 - 06 - 1919#boelie kessler#30 - 11 - 1896#9#2#17 - 08 - 1971
90#09 - 06 - 1919#theo brokmann#19 - 09 - 1893#1#1#28 - 08 - 1956
91#09 - 06 - 1919#wim gupffert#18 - 10 - 1894#3#2#27 - 12 - 1958
92#24 - 08 - 1919#evert van linge#19 - 11 - 1895#13#3#06 - 12 - 1964
93#24 - 08 - 1919#henk steeman#15 - 01 - 1894#13#0#16 - 02 - 1979
94#24 - 08 - 1919#georg beijers#03 - 12 - 1895#1#0#03 - 06 - 1978
95#31 - 08 - 1919#martin houtkooper#27 - 10 - 1891#1#0#16 - 04 - 1961
