university#location#established#endowment as of 2008#campus area (acres)#kiplinger 's top 100 values#enrollment as of 2008
florida a&m university#tallahassee , florida#1887#119 million#419#n / a#11567
florida atlantic university#boca raton , florida#1961#182 million#850#n / a#26525
florida gulf coast university#fort myers , florida#1991#39 million#760#n / a#9387
florida international university#miami , florida#1965#97 million#573#n / a#38614
florida state university#tallahassee , florida#1851#570 million#1200#17th overall in the united states#41002
new college of florida#sarasota , florida#1960#33 million#144#8th overall in the united states#769
university of central florida#orlando , florida#1963#114 million#1415#42nd overall in the united states#48699
university of florida#gainesville , florida#1853#1.3 billion#2000#2nd overall in the united states#52084
university of north florida#jacksonville , florida#1969#95 million#1300#n / a#16570
university of south florida#tampa , florida#1956#360 million#1913#75th overall in the united states#45524
university of west florida#pensacola , florida#1963#61 million#1600#n / a#10394
