date#visitor#score#home#record
october 24#chicago black hawks#5 - 4#boston bruins#1 - 0 - 0
october 27#chicago black hawks#4 - 8#montreal canadiens#1 - 1 - 0
october 31#new york rangers#1 - 5#chicago black hawks#2 - 1 - 0
november 4#toronto maple leafs#4 - 7#chicago black hawks#3 - 1 - 0
november 8#chicago black hawks#5 - 4#new york rangers#4 - 1 - 0
november 10#chicago black hawks#2 - 3#toronto maple leafs#4 - 2 - 0
november 11#toronto maple leafs#3 - 5#chicago black hawks#5 - 2 - 0
november 15#chicago black hawks#2 - 5#detroit red wings#5 - 3 - 0
november 18#detroit red wings#5 - 3#chicago black hawks#5 - 4 - 0
november 22#new york rangers#3 - 3#chicago black hawks#5 - 4 - 1
november 25#montreal canadiens#1 - 5#chicago black hawks#6 - 4 - 1
december 1#chicago black hawks#8 - 2#toronto maple leafs#7 - 4 - 1
december 2#toronto maple leafs#5 - 3#chicago black hawks#7 - 5 - 1
december 5#chicago black hawks#3 - 6#boston bruins#7 - 6 - 1
december 9#boston bruins#3 - 8#chicago black hawks#8 - 6 - 1
december 13#chicago black hawks#7 - 4#new york rangers#9 - 6 - 1
december 16#detroit red wings#4 - 6#chicago black hawks#10 - 6 - 1
december 19#montreal canadiens#4 - 4#chicago black hawks#10 - 6 - 2
december 22#chicago black hawks#6 - 4#detroit red wings#11 - 6 - 2
december 23#detroit red wings#4 - 4#chicago black hawks#11 - 6 - 3
december 29#chicago black hawks#5 - 4#montreal canadiens#12 - 6 - 3
december 30#chicago black hawks#2 - 3#new york rangers#12 - 7 - 3
january 1#toronto maple leafs#1 - 3#chicago black hawks#13 - 7 - 3
january 5#chicago black hawks#3 - 0#toronto maple leafs#14 - 7 - 3
january 6#chicago black hawks#2 - 3#detroit red wings#14 - 8 - 3
january 12#chicago black hawks#3 - 4#boston bruins#14 - 9 - 3
january 13#chicago black hawks#2 - 3#new york rangers#14 - 10 - 3
january 16#chicago black hawks#2 - 1#montreal canadiens#15 - 10 - 3
january 20#new york rangers#1 - 9#chicago black hawks#16 - 10 - 3
january 23#montreal canadiens#2 - 7#chicago black hawks#17 - 10 - 3
january 26#chicago black hawks#5 - 6#toronto maple leafs#17 - 11 - 3
january 27#boston bruins#1 - 4#chicago black hawks#18 - 11 - 3
january 30#chicago black hawks#3 - 4#boston bruins#18 - 12 - 3
february 3#boston bruins#1 - 3#chicago black hawks#19 - 12 - 3
february 6#new york rangers#2 - 6#chicago black hawks#20 - 12 - 3
february 9#chicago black hawks#2 - 6#montreal canadiens#20 - 13 - 3
february 10#chicago black hawks#2 - 2#new york rangers#20 - 13 - 4
february 13#montreal canadiens#5 - 1#chicago black hawks#20 - 14 - 4
february 16#chicago black hawks#3 - 3#detroit red wings#20 - 14 - 5
february 17#detroit red wings#2 - 2#chicago black hawks#20 - 14 - 6
february 20#boston bruins#3 - 4#chicago black hawks#21 - 14 - 6
february 24#new york rangers#2 - 2#chicago black hawks#21 - 14 - 7
march 2#chicago black hawks#4 - 9#toronto maple leafs#21 - 15 - 7
march 3#boston bruins#3 - 5#chicago black hawks#22 - 15 - 7
march 6#toronto maple leafs#5 - 2#chicago black hawks#22 - 16 - 7
march 10#montreal canadiens#3 - 1#chicago black hawks#22 - 17 - 7
march 13#detroit red wings#4 - 9#chicago black hawks#23 - 17 - 7
march 14#chicago black hawks#3 - 7#detroit red wings#23 - 18 - 7
march 16#chicago black hawks#3 - 6#montreal canadiens#23 - 19 - 7
march 17#chicago black hawks#3 - 5#boston bruins#23 - 20 - 7
