place#player#country#score#to par#money
t1#larry mize#united states#70 + 72 + 72 + 71 = 285#- 3#playoff
t1#seve ballesteros#spain#73 + 71 + 70 + 71 = 285#- 3#playoff
t1#greg norman#australia#73 + 74 + 66 + 72 = 285#- 3#playoff
t4#ben crenshaw#united states#75 + 70 + 67 + 74 = 286#- 2#37200
t4#roger maltbie#united states#76 + 66 + 70 + 74 = 286#- 2#37200
t4#jodie mudd#united states#74 + 72 + 71 + 69 = 286#- 2#37200
t7#jay haas#united states#72 + 72 + 72 + 73 = 289#+ 1#26200
t7#bernhard langer#west germany#71 + 72 + 70 + 76 = 289#+ 1#26200
t7#jack nicklaus#united states#74 + 72 + 73 + 70 = 289#+ 1#26200
t7#tom watson#united states#71 + 72 + 74 + 72 = 289#+ 1#26200
t7#d a weibring#united states#72 + 75 + 71 + 71 = 289#+ 1#26200
