date#opponent#site#score#loss#attendance#record
tuesday , september 1#philadelphia phillies#veterans stadium#w , 4 - 0#krukow (12 - 8)#24788#75 - 58
thursday , september 3#montreal expos#olympic stadium#w , 4 - 3#lea (11 - 8)#28065#76 - 58
friday , september 4#montreal expos#olympic stadium#l , 1 - 4#pãrez (0 - 4)#32526#76 - 59
saturday , september 5#montreal expos#olympic stadium#l , 1 - 2#garber (6 - 8)#56807#76 - 60
sunday , september 6#san francisco giants#atlanta - fulton county stadium#l , 2 - 8#moore (2 - 1)#9051#76 - 61
monday , september 7#san francisco giants#atlanta - fulton county stadium#l , 2 - 3#camp (11 - 8)#7523#76 - 62
tuesday , september 8#los angeles dodgers#atlanta - fulton county stadium#w , 12 - 11 (10 innings)#s howe (6 - 4)#24853#77 - 62
wednesday , september 9#los angeles dodgers#atlanta - fulton county stadium#w , 10 - 3#valenzuela (17 - 12)#35362#78 - 62
thursday , september 10#cincinnati reds#atlanta - fulton county stadium#w , 8 - 2#shirley (6 - 12)#17407#79 - 62
friday , september 11#cincinnati reds#atlanta - fulton county stadium#l , 3 - 4#t boggs (2 - 1)#20966#79 - 63
saturday , september 12#cincinnati reds#atlanta - fulton county stadium#w , 4 - 3#harris (2 - 6)#16442#80 - 63
sunday , september 13#houston astros#atlanta - fulton county stadium#l , 3 - 5#p niekro (14 - 4)#7556#80 - 64
monday , september 14#houston astros#atlanta - fulton county stadium#l , 0 - 4#r mahler (9 - 10)#9331#80 - 65
tuesday , september 15#houston astros#atlanta - fulton county stadium#l , 4 - 5#t boggs (2 - 2)#11422#80 - 66
thursday , september 17#cincinnati reds#riverfront stadium#l , 2 - 5#camp (11 - 9)#11630#80 - 67
friday , september 18#cincinnati reds#riverfront stadium#w , 5 - 4#pastore (8 - 11)#14121#81 - 67
saturday , september 19#cincinnati reds#riverfront stadium#w , 6 - 1#berenyi (8 - 18)#12203#82 - 67
sunday , september 20#houston astros#astrodome#l , 3 - 4#garber (7 - 9)#12634#82 - 68
monday , september 21#houston astros#astrodome#l , 3 - 5#camp (11 - 10)#15374#82 - 69
tuesday , september 22#houston astros#astrodome#l , 2 - 3#garber (7 - 10)#16821#82 - 70
thursday , september 24#san diego padres#atlanta - fulton county stadium#w , 11 - 6#m griffin (0 - 1)#25819#83 - 70
friday , september 25#san diego padres#atlanta - fulton county stadium#w , 12 - 6#eichelberger (7 - 14)#36037#84 - 70
saturday , september 26#san diego padres#atlanta - fulton county stadium#l , 2 - 3#camp (11 - 11)#38941#84 - 71
sunday , september 27#san francisco giants#candlestick park#w , 7 - 0#r martin (7 - 9)#45783#85 - 71
monday , september 28#san francisco giants#candlestick park#w , 8 - 3#laskey (13 - 12)#17071#86 - 71
tuesday , september 29#los angeles dodgers#dodgers stadium#w , 4 - 3 (12 innings)#forster (5 - 6)#45757#87 - 71
wednesday , september 30#los angeles dodgers#dodgers stadium#l , 3 - 10#camp (11 - 12)#49926#87 - 72
