res#record#opponent#method#event#round#time#location
win#7 - 4#ashley sanchez#decision (unanimous)#rfa 2 - yvel vs alexander#3#5:00#kearney , nebraska , united states
win#6 - 4#angela samaro#tko (elbows)#kotc - shockwave#3#1:00#oroville , california , united states
win#5 - 4#shana olsen#decision (unanimous)#crowbar mma - spring brawl 2#3#5:00#fargo , north dakota , united states
loss#4 - 4#shayna baszler#submission (kneebar)#the cage inc - battle at the border 7#1#4:03#hankinson , north dakota , united states
win#4 - 3#alexis davis#decision (unanimous)#rw 9: mayhem in the mist 4#3#5:00#niagara falls , new york , united states
win#3 - 3#lizbeth carreiro#tko (punches)#freestyle cage fighting 44#1#2:55#claremore , oklahoma , united states
loss#2 - 3#miesha tate#decision (unanimous)#strikeforce : melendez vs thomson#3#3:00#san jose , california , united states
win#2 - 2#michelle maher#decision (split)#motm - melee on the mountain#5#5:00#friant , california , united states
loss#1 - 2#michelle maher#decision (unanimous)#strikeforce : young guns#3#3:00#san jose , california , united states
loss#1 - 1#gina carano#decision (unanimous)#strikeforce : triple threat#3#2:00#san jose , california , united states
win#1 - 0#michelle maher#ko (punches)#wc - warriors cup#1#1:05#stockton , california , united states
