player#height#position#year born#current club
stepán vrubl#1.86#guard#1976#a plus brno
pavel benes#1.90#guard#1975#nymburk
maurice whitfield#1.86#guard#1973#olympiada patras
michal kremen#2.00#forward#1981#nymburk
lukás kraus#2.01#forward#1984#liberec
jiří welsch#1.97#guard#1980#unicaja
ladislav sokolovsky#2.00#forward#1977#nymburk
luboš bartoň#2.02#forward#1980#dkv joventut
radek necas#2.04#forward#1980#nymburk
petr benda#2.04#center#1982#nymburk
jakub houška#2.06#center#1982#děčín
ondrej starosta#2.15#center#1979#basket cai zaragoza
