position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#rcd español#38#52#20#12#6#59#25#+ 34
2#real betis#38#51#22#7#9#66#38#+ 28
3#sd compostela#38#49#21#7#10#56#36#+ 20
4#cd toledo#38#47#18#11#9#50#32#+ 18
5#rcd mallorca#38#47#20#7#11#66#39#+ 27
6#real madrid b#38#46#19#8#11#57#41#+ 16
7#hércules cf#38#44#16#12#10#41#35#+ 6
8#barcelona b#38#39#11#17#10#59#51#+ 8
9#cp mérida#38#37#12#13#13#47#41#+ 6
10#sd eibar#38#35#10#15#13#30#40#- 10
11#cd badajoz#38#35#12#11#15#45#46#- 1
12#atlético marbella#38#35#10#15#13#40#41#- 1
13#palamós cf#38#34#11#12#15#40#49#- 9
14#athletic de bilbao b#38#34#10#14#14#46#52#- 6
15#cd leganés#38#34#11#12#15#53#59#- 6
16#villarreal cf#38#34#14#6#18#29#48#- 19
17#cd castellón#38#32#9#14#15#30#48#- 18
18#real murcia#38#31#10#11#17#40#64#- 24
19#real burgos 1#38#26#10#6#22#38#68#- 30
20#cádiz cf#38#18#4#10#24#28#67#- 39
