rank#movie#year#studio (s)#third week nett gross
1#3 idiots#2009#vinod chopra productions#30 , 30 , 00000
2#yeh jawaani hai deewani#2013#dharma productions#19 , 60 , 00000
3#chennai express#2013#red chillies entertainment#18 , 31 , 00000
4#dabangg#2010#arbaaz khan productions#17 , 21 , 00000
5#barfi#2012#utv motion pictures#15 , 70 , 00000
6#bhaag milkha bhaag#2013#viacom 18#15 , 49 , 00000
7#rowdy rathore#2012#utv motion pictures#15 , 16 , 00000
8#ghajini#2008#reliance entertainment#14 , 13 , 00000
9#ready#2010#t - series#13 , 61 , 00000
10#omg! oh my god#2012#paresh rawal#13 , 44 , 00000
