res#record#opponent#method#event#location
loss#6 - 4 - 1#kj noons#decision (unanimous)#dream13#yokohama , japan
loss#6 - 3 - 1#katsunori kikuno#tko (punches)#dream10#saitama , saitama , japan
loss#6 - 2 - 1#eddie alvarez#tko (punches)#dream1#saitama , saitama , japan
loss#6 - 1 - 1#gesias cavalcante#submission (armbar)#hero 's 10#yokohama , japan
win#6 - 0 - 1#caol uno#decision (unanimous)#hero 's 10#yokohama , japan
win#5 - 0 - 1#artur oumakhanov#tko (punches)#hero 's 9#yokohama , japan
win#4 - 0 - 1#hiroyuki takaya#tko (broken nose)#hero 's 8#nagoya , japan
win#3 - 0 - 1#felipe borges#tko#storm samurai 12#curitiba , brazil
draw#2 - 0 - 1#claudio mattos#draw#storm samurai 8#brasílial , brazil
win#2 - 0#sergio vieira#ko (punch)#storm samurai 6#curitiba , brazil
win#1 - 0#leandro sousa#decision#storm samurai 4#curitiba , brazil
