game#date#team#score#high points#high rebounds#high assists#location attendance#record
17#december 2#san antonio#w 89 - 77 (ot)#allen iverson , rasheed wallace (19)#tayshaun prince (12)#rodney stuckey (7)#at&t center 17582#11 - 6
18#december 5#philadelphia#l 91 - 96 (ot)#richard hamilton (19)#rasheed wallace , kwame brown (8)#allen iverson (7)#the palace of auburn hills 22076#11 - 7
19#december 7#new york#l 92 - 104 (ot)#tayshaun prince (23)#tayshaun prince (10)#allen iverson (7)#madison square garden 19763#11 - 8
20#december 9#washington#l 94 - 107 (ot)#richard hamilton (29)#tayshaun prince (11)#rodney stuckey (11)#verizon center 14707#11 - 9
21#december 12#indiana#w 114 - 110 (ot)#richard hamilton (28)#rasheed wallace (6)#allen iverson (12)#the palace of auburn hills 22076#12 - 9
22#december 13#charlotte#w 90 - 86 (ot)#allen iverson (20)#tayshaun prince , antonio mcdyess (6)#rodney stuckey (10)#time warner cable arena 17373#13 - 9
23#december 17#washington#w 88 - 74 (ot)#allen iverson (28)#tayshaun prince (10)#rodney stuckey (11)#the palace of auburn hills 22076#14 - 9
24#december 19#utah#l 114 - 120 (2ot)#allen iverson (38)#rasheed wallace (8)#allen iverson (7)#the palace of auburn hills 22076#14 - 10
25#december 21#atlanta#l 78 - 85 (ot)#rasheed wallace , rodney stuckey (20)#rodney stuckey (9)#allen iverson (6)#philips arena 15233#14 - 11
26#december 23#chicago#w 104 - 98 (ot)#rodney stuckey (40)#tayshaun prince , antonio mcdyess (11)#allen iverson (8)#the palace of auburn hills 22076#15 - 11
27#december 26#oklahoma city#w 90 - 88 (ot)#allen iverson (22)#tayshaun prince (11)#rodney stuckey , richard hamilton (4)#the palace of auburn hills 22076#16 - 11
28#december 27#milwaukee#w 87 - 76 (ot)#tayshaun prince (19)#rasheed wallace (12)#rodney stuckey , allen iverson (6)#bradley center 17086#17 - 11
29#december 29#orlando#w 88 - 82 (ot)#rodney stuckey (19)#antonio mcdyess (8)#antonio mcdyess (5)#the palace of auburn hills 22076#18 - 11
30#december 31#new jersey#w 83 - 75 (ot)#allen iverson (19)#jason maxiell (9)#tayshaun prince (5)#the palace of auburn hills 22076#19 - 11
