rank#nation#gold#silver#bronze#total
1#china (chn)#43#7#3#53
2#iran (iri)#4#3#5#12
3#malaysia (mas)#3#1#5#9
4#hong kong (hkg)#2#9#4#15
5#thailand (tha)#2#3#6#11
6#japan (jpn)#1#6#5#12
7#philippines (phi)#1#5#8#14
8#macau (mac)#1#5#4#10
9#south korea (kor)#1#4#6#11
10#chinese taipei (tpe)#1#3#11#15
11#myanmar (mya)#1#1#2#4
12#vietnam (vie)#0#9#7#16
13#indonesia (ina)#0#2#2#4
14#laos (lao)#0#1#5#6
15#india (ind)#0#1#2#3
16#pakistan (pak)#0#1#1#2
17#singapore (sin)#0#0#5#5
18#mongolia (mgl)#0#0#3#3
19#kazakhstan (kaz)#0#0#2#2
20#yemen (yem)#0#0#1#1
total#total#60#61#87#208
