res#record#opponent#method#event#round#time#location
loss#19 - 11#lyoto machida#ko (crane kick)#ufc 129#2#1:05#toronto , ontario , canada
win#19 - 10#james toney#submission (arm triangle choke)#ufc 118#1#3:19#boston , massachusetts , united states
win#18 - 10#mark coleman#submission (rear naked choke)#ufc 109#2#1:09#las vegas , nevada , united states
win#17 - 10#brandon vera#decision (unanimous)#ufc 105#3#5:00#manchester , united kingdom
loss#16 - 10#antônio rodrigo nogueira#decision (unanimous)#ufc 102#3#5:00#portland , oregon , united states
loss#16 - 9#brock lesnar#tko (punches)#ufc 91#2#3:07#las vegas , nevada , united states
win#16 - 8#gabriel gonzaga#tko (punches)#ufc 74#3#1:37#las vegas , nevada , united states
win#15 - 8#tim sylvia#decision (unanimous)#ufc 68#5#5:00#columbus , ohio , united states
loss#14 - 8#chuck liddell#ko (punches)#ufc 57#2#1:28#las vegas , nevada , united states
win#14 - 7#mike van arsdale#submission (anaconda choke)#ufc 54#3#0:52#las vegas , nevada , united states
loss#13 - 7#chuck liddell#ko (punches)#ufc 52#1#2:06#las vegas , nevada , united states
win#13 - 6#vitor belfort#tko (doctor stoppage)#ufc 49#3#5:00#las vegas , nevada , united states
loss#12 - 6#vitor belfort#tko (cut)#ufc 46#1#0:49#las vegas , nevada , united states
win#12 - 5#tito ortiz#decision (unanimous)#ufc 44#5#5:00#las vegas , nevada , united states
win#11 - 5#chuck liddell#tko (punches)#ufc 43#3#2:40#las vegas , nevada , united states
loss#10 - 5#ricco rodriguez#submission (elbow)#ufc 39#5#3:04#montville , connecticut , united states
loss#10 - 4#josh barnett#tko (punches)#ufc 36#2#4:35#las vegas , nevada , united states
win#10 - 3#pedro rizzo#tko (punches)#ufc 34#3#1:38#las vegas , nevada , united states
win#9 - 3#pedro rizzo#decision (unanimous)#ufc 31#5#5:00#atlantic city , new jersey , united states
loss#8 - 3#valentijn overeem#submission (guillotine choke)#rings : king of kings 2000 final#1#0:56#tokyo , japan
win#8 - 2#tsuyoshi kohsaka#decision (unanimous)#rings : king of kings 2000 final#2#5:00#tokyo , japan
win#7 - 2#kevin randleman#tko (punches)#ufc 28#3#4:13#atlantic city , new jersey , united states
win#6 - 2#ryushi yanagisawa#decision (majority)#rings : king of kings 2000 block a#2#5:00#tokyo , japan
win#5 - 2#jeremy horn#decision (unanimous)#rings : king of kings 2000 block a#3#5:00#tokyo , japan
loss#4 - 2#mikhail ilyukhin#submission (kimura)#rings : rise 1st#1#7:43#japan
loss#4 - 1#enson inoue#submission (armbar)#vale tudo japan 1998#1#1:39#japan
win#4 - 0#maurice smith#decision (majority)#ufc japan#1#21:00#yokohama , kanagawa , japan
win#3 - 0#vitor belfort#tko (punches)#ufc 15#1#8:17#bay st louis , mississippi , united states
win#2 - 0#steven graham#tko (punches)#ufc 13#1#3:13#augusta , georgia , united states
win#1 - 0#tony halme#submission (rear naked choke)#ufc 13#1#1:00#augusta , georgia , united states
