round#pick#overall#name#position#college
1#8#8#i b hale#ot#texas christian
3#8#23#charley holm#rb#alabama
5#8#38#dick todd#rb#texas a&m
6#8#48#dave anderson#rb#california
7#8#58#quinton lumpkin#c#georgia
8#8#68#bo russell#ot#auburn
9#8#78#wilbur moore#hb#minnesota
10#8#88#jim johnston#rb#washington
11#8#98#jim german#rb#centre
12#8#108#bob o'mara#rb#duke
13#8#118#steve slivinski#g#washington
14#8#128#bob hoffman#rb#southern california
15#8#138#eric tipton#rb#duke
16#8#148#dick farman#ot#washington state
17#8#158#clyde shugart#ot#iowa state
18#8#168#boyd morgan#rb#southern california
19#8#178#phil smith#ot#st benedict 's
20#8#188#paul coop#ot#centre
21#3#193#matt kuber#g#villanova
22#3#198#al cruver#rb#washington state
