year#venue#winners#2nd place#3rd place
1998#krško#rafał okoniewski#aleš dryml , jr#hans n andersen
1999#gniezno#rafał okoniewski#karol malecha#jarosław hampel
2000#ljubljana#lukáš dryml#niels kristian iversen#zbigniew czerwiński
2001#pardubice#łukasz romanek#rafał kurmański#daniel davidsson
2002#daugavpils#matej žagar#kenneth bjerre#fredrik lindgren
2003#pocking#kenneth bjerre#janusz kołodziej#antonio lindbäck
2004#rybnik#antonio lindbäck#karol ząbik#morten risager
2005#mšeno#karol ząbik#kasts poudzuks#robert pettersson
2006#goričan#jurica pavlič#andriej karpov#lars hansen
2007#częstochowa#nicolai klindt#jurica pavlič#filip šitera
2008#stralsund#artur mroczka#maciej janowski#artem vodyakov
2009#tarnów#przemysław pawlicki#maciej janowski#martin vaculík
2010#goričan#dennis andersson#przemysław pawlicki#patryk dudek
2011#ljubljana#piotr pawlicki#michael jepsen jensen#vitaly belousov
year#venue#winners#2nd place#3rd place
