name (pinyin)#name (wade giles)#characters#type#construction
leihu#lei - hu#雷虎#steam torpedo boat#1884 , stettin , germany
leilong#lei - lung#雷龍#steam torpedo boat#1884 , stettin , germany
leidui#lei - tui#雷兑#steam torpedo boat#1885 , schichau , germany
leigan#lei - kan#雷乾#steam torpedo boat#1885 , schichau , germany
leiqian#lei - ch'ien#雷坎#steam torpedo boat#1885 , schichau , germany
leikun#lei - k'un#雷坤#steam torpedo boat#1885 , schichau , germany
leili#lei - li#雷離#steam torpedo boat#1885 , schichau , germany
leigen#lei - gen#雷艮#steam torpedo boat#1885 , schichau , germany
leixun#lei - hsun#雷巽#steam torpedo boat#1885 , schichau , germany
leizhen#lei - chen#雷震#steam torpedo boat#1885 , schichau , germany
leizhong#lei - chung#雷中#steam torpedo boat#1885 , schichau , germany
guangheng#kuang - heng#廣亨#composite shallow - draft gunboat#1886 , canton
guangli#kuang - li#廣利#composite shallow - draft gunboat#1886 , canton
guangyuan#kuang - yuan#廣元#composite shallow - draft gunboat#1886 , canton
guangzhen#kuang - chen#廣貞#composite shallow - draft gunboat#1886 , canton
guanggeng#kuang - keng#廣庚#wooden gunboat#c1887 , foochow navy yard
guangxing#kuang - hsing#廣興#wooden gunboat#c1887 , foochow navy yard
guangzhen#kuang - chen#廣鎮#wooden gunboat#c1887 , foochow navy yard
guangkui#kuang - k'uei#廣癸#wooden gunboat#c1887 , foochow navy yard
guangjia#kuang - chia#廣甲#composite cruiser#1887 , foochow navy yard
guangyi#kuang - i#廣乙#steel torpedo gunboat#1892 , foochow navy yard
guangbing#kuang - ping#廣丙#steel torpedo gunboat#1892 , foochow navy yard
guangding#kuang - ting#廣丁#steel torpedo gunboat#1892 , foochow navy yard
