rider#manufacturer#laps#time / retired#grid
álvaro bautista#aprilia#21#40:18.605#1
alex de angelis#aprilia#21#+ 0.087#5
héctor barberá#aprilia#21#+ 7.665#6
andrea dovizioso#honda#21#+ 7.751#2
thomas lüthi#aprilia#21#+ 27.267#4
shuhei aoyama#honda#21#+ 27.522#3
julián simón#honda#21#+ 27.774#10
jorge lorenzo#aprilia#21#+ 32.238#20
marco simoncelli#gilera#21#+ 51.455#13
anthony west#aprilia#21#+ 1:04.308#9
yuki takahashi#honda#21#+ 1:04.318#27
aleix espargaró#aprilia#21#+ 1:04.462#21
fabrizio lai#aprilia#21#+ 1:04.556#26
alex baldolini#aprilia#21#+ 1:04.570#12
taro sekiguchi#aprilia#21#+ 1:05.162#24
karel abrahám#aprilia#21#+ 1:10.583#14
dirk heidolf#aprilia#21#+ 1:10.587#16
roberto locatelli#gilera#21#+ 1:20.650#15
jules cluzel#honda#21#+ 1:20.921#18
eugene laverty#honda#21#+ 1:21.282#25
hiroshi aoyama#ktm#21#+ 1:46.776#7
imre tóth#aprilia#21#+ 1:54.965#11
arturo tizón#aprilia#20#+ 1 lap#23
thomas tallevi#yamaha#20#+ 1 lap#22
omar menghi#aprilia#19#retirement#17
mika kallio#ktm#2#retirement#8
ratthapark wilairot#honda#0#retirement#19
