date#visitor#score#home#decision#attendance#record
december 1#chicago#1 - 3#st louis#toivonen#19150#15 - 8 - 1
december 4#st louis#1 - 3#calgary#toivonen#19289#15 - 9 - 1
december 7#st louis#4 - 3#edmonton#toivonen#16839#16 - 9 - 1
december 9#st louis#5 - 9#colorado#toivonen#15476#16 - 10 - 1
december 11#edmonton#5 - 4#st louis#toivonen#14329#16 - 10 - 2
december 13#florida#1 - 0#st louis#legace#14088#16 - 11 - 2
december 16#calgary#5 - 3#st louis#legace#16733#16 - 12 - 2
december 20#detroit#2 - 3#st louis#legace#19150#17 - 12 - 2
december 22#st louis#4 - 1#boston#legace#14200#18 - 12 - 2
december 23#atlanta#3 - 2#st louis#legace#17731#18 - 12 - 3
december 26#detroit#5 - 0#st louis#legace#19250#18 - 13 - 3
december 28#san jose#1 - 0#st louis#legace#19250#18 - 14 - 3
december 29#st louis#4 - 5#dallas#toivonen#18532#18 - 14 - 4
december 31#st louis#2 - 0#detroit#legace#20066#19 - 14 - 4
