round#pick#player#position#school / club team
1#7#earl girard#halfback#wisconsin
3#19#ed smith#halfback#utep
5#27#don richards#tackle#arkansas
5#31#weyman sellers#end#georgia
6#41#larry olsonoski#guard#minnesota
7#51#jay rhodemyre#center#kentucky
8#61#bob cunz#tackle#illinois
10#81#george walmsley#back#rice
11#91#bob hodges#tackle#bradley
12#101#bob rennebohm#end#wisconsin
13#111#perry moss#quarterback#illinois
14#121#fred provo#halfback#washington
15#131#lou agase#tackle#illinois
16#141#travis raven#back#texas
18#161#ken balge#end#michigan state
19#171#charley tatom#tackle#texas
20#181#floyd thomas#center#arkansas
21#191#herbert st john#guard#georgia
22#201#don anderson#back#rice
23#211#fred kling#back#missouri
24#221#clyde biggers#tackle#catawba
25#231#stan heath#quarterback#nevada
26#241#aubrey allen#tackle#colorado
27#251#stan gorski#end#st mary 's (mn)
28#261#don sharp#center#tulsa
29#271#john panelli#back#notre dame
30#281#clarence mcgeary#defensive tackle#north dakota state
31#289#gayland mills#end#byu
32#296#ralph earhart#halfback#texas tech
