no in series#no in season#title#directed by#written by#original air date
14#1#in the game#rodrigo garcã­a#alan ball#march 3 , 2002
15#2#out , out brief candle#kathy bates#laurence andries#march 10 , 2002
16#3#the plan#rose troche#kate robin#march 17 , 2002
17#4#driving mr mossback#michael cuesta#rick cleveland#march 24 , 2002
18#5#the invisible woman#jeremy podeswa#bruce eric kaplan#march 31 , 2002
19#6#in place of anger#michael engler#christian taylor#april 7 , 2002
20#7#back to the garden#dan attias#jill soloway#april 14 , 2002
21#8#it 's the most wonderful time of the year#alan taylor#scott buck#april 21 , 2002
22#9#someone else 's eyes#michael cuesta#alan ball#april 28 , 2002
23#10#the secret#alan poul#bruce eric kaplan#may 5 , 2002
24#11#the liar and the whore#miguel arteta#rick cleveland#may 12 , 2002
25#12#i'll take you#michael engler#jill soloway#may 19 , 2002
