date#opponent#score#loss#attendance#record
august 1#new york yankees#2 - 5#moyer (8 - 8)#53840#48 - 61
august 2#new york yankees#6 - 3#cone (15 - 4)#47872#49 - 61
august 3#boston red sox#3 - 1#wasdin (5 - 4)#27887#50 - 61
august 4#boston red sox#1 - 2#mccarthy (0 - 2)#29621#50 - 62
august 7#detroit tigers#6 - 3#crow (1 - 1)#dh#51 - 62
august 7#detroit tigers#7 - 1#moehler (12 - 8)#29039#52 - 62
august 8#detroit tigers#9 - 3#powell (2 - 3)#37495#53 - 62
august 9#detroit tigers#6 - 3#runyan (1 - 3)#27987#54 - 62
august 11#toronto blue jays#4 - 7#fassero (10 - 8)#33137#54 - 63
august 12#toronto blue jays#5 - 11#ayala (1 - 8)#39139#54 - 64
august 14#chicago white sox#2 - 14#cloude (7 - 8)#22713#54 - 65
august 15#chicago white sox#13 - 7#navarro (8 - 14)#21537#55 - 65
august 16#chicago white sox#3 - 5#fassero (10 - 9)#25471#55 - 66
august 17#detroit tigers#3 - 1#moehler (12 - 9)#38639#56 - 66
august 18#detroit tigers#6 - 7#ayala (1 - 9)#24136#56 - 67
august 19#toronto blue jays#2 - 16#cloude (7 - 9)#26258#56 - 68
august 20#toronto blue jays#0 - 7#swift (10 - 7)#26642#56 - 69
august 21#chicago white sox#5 - 4#foulke (3 - 2)#34421#57 - 69
august 22#chicago white sox#5 - 4#navarro (8 - 15)#43596#58 - 69
august 23#chicago white sox#3 - 2#snyder (4 - 2)#35159#59 - 69
august 24#chicago white sox#11 - 10#sirotka (12 - 12)#27087#60 - 69
august 25#cleveland indians#4 - 10#swift (10 - 8)#43113#60 - 70
august 26#cleveland indians#3 - 5#fassero (10 - 10)#43091#60 - 71
august 27#cleveland indians#10 - 4#wright (11 - 8)#43142#61 - 71
august 28#new york yankees#3 - 10#spoljaric (4 - 3)#49789#61 - 72
august 29#new york yankees#6 - 11#cloude (8 - 10)#55146#61 - 73
august 30#new york yankees#13 - 3#irabu (11 - 7)#55341#62 - 73
august 31#boston red sox#1 - 5#fassero (10 - 11)#28553#62 - 74
