rank#club#wins#last win#runner - up#last losing final
1#carlisle united#2#2011#4#2010
2#bristol city#2#2003#2#2000
3#birmingham city#2#1995#0#-
3#blackpool#2#2004#0#-
3#port vale#2#2001#0#-
3#stoke city#2#2000#0#-
3#swansea city#2#2006#0#-
3#wigan athletic#2#1999#0#-
9#bournemouth#1#1984#1#1998
9#bolton wanderers#1#1989#1#1986
9#grimsby town#1#1998#1#2008
9#tranmere rovers#1#1990#1#1991
13#chesterfield#1#2012#0#-
13#crewe alexandra#1#2013#0#-
13#doncaster rovers#1#2007#0#-
13#luton town#1#2009#0#-
13#mansfield town#1#1987#0#-
13#milton keynes dons#1#2008#0#-
13#rotherham united#1#1996#0#-
13#southampton#1#2010#0#-
13#wrexham#1#2005#0#-
13#wolverhampton wanderers#1#1988#0#-
