rank#name#location#state#designer , year
1#pine valley#pine valley#new jersey#george crump / harry colt , 1918
2#cypress point#pebble beach#california#alister mackenzie , 1918
3#augusta national#augusta#georgia#alister mackenzie / bobby jones , 1933
4#pebble beach#pebble beach#california#jack neville / douglas grant , 1919
5#shinnecock hills#southampton#new york#william flynn , 1931
6#oakmont#oakmont#pennsylvania#henry fownes , 1903
7#merion (east)#ardmore#pennsylvania#hugh wilson , 1912
8#sand hills#mullen#nebraska#bill coore / ben crenshaw , 1994
9#pacific dunes#bandon#oregon#tom doak , 2001
10#national golf links of america#southampton#new york#charles b macdonald , 1911
