host city#year#winner#1st runner up#2nd runner up
istanbul#1988#neneng robiah#helena kirsi#sibel tan
istanbul#1989#kao arden#marisabel valdes#aneta rusewitz
taipei#1990#sharon luengo#nany naegele#eva pedraza
turku#1992#celine cassagnes#meike swartz#sonia bermudez
istanbul#1993#gemith gemparo#natalia martinez#dimitri kostaki
istanbul#1994#isabelle de silva#irini alexiou#alexandra koukoulyka
istanbul#1995#laura marlen cabrera#tugba ozay#jakki denell aherne
istanbul#1996#carla paneca fernandez#mercedes mwajas#yenni vaca paz
istanbul#1997#caroline lubrez#mari carmen#assel isabaeva
istanbul#1998#abby essien#veronica laskaeva#woon yeow
antalya#1999#michaella walker#rosana pelaz#thanyaluk worapimrat
istanbul#2000#malgorzata rozniecka#alexandra aguilera#feza gursoy
istanbul#2001#laura keranen#ksenia saifutdinova#oksana dahan
istanbul#2002#yan wei#marta gracia#dimitra alexandraki
beijing#2004#khemanit jamikorn#ma li#ling zhang
shenzhen#2005#catherine abboud#chien - an lin#elena tihomirova
shenzhen#2006#di song#eleonora masalab#ana maria ortiz rodal
yuncheng#2007#iveta lutovská#stephanie thomas#ria antoniou
shenzhen#2008#mariia iakimuk#hommy king#serap tunç
shenzhen#2009#emene nyame#deyra cimen#iuliia galichenko
shenzhen#2010#amanda delgado#ema masters#qing qing cao
