nat#name#since#goals#ends#transfer fee
sco#allan mcgregor#1998#0#2010#youth system
sco#alan hutton#2000#4#2012#youth system
sco#david weir#2007 (winter)#3#2008#free
bel#thomas buffel#2005 (winter)#16#2009#2.3 m
bih#saša papac#2006#0#2009#0.45 m
sco#barry ferguson ( captain )#2005 (winter)#59#2010#4.5 m
alg#brahim hemdani#2005#2#2009#free
sco#kevin thomson#2007 (winter)#1#2011#2 m
sco#kris boyd#2005 (winter)#71#2010#0.4 m
esp#nacho novo#2004#54#2010#0.45 m
sco#charlie adam#2003#18#2012#youth system
eng#ugo ehiogu#2007 (winter)#1#2008#free
nir#steven davis#2008 (winter)#1#2008#loan
sen#amdy faye#2007#0#2008#loan
sco#alan gow#2007#0#2010#free
sco#graeme smith#2007#0#2010#free
sco#chris burke#2000#14#2009#youth system
sco#ian murray#2005#0#2008#free
sco#steven naismith#2008#5#2012#1.9 m
fra#jean - claude darcheville#2007#15#2009#free
usa#damarcus beasley#2007#5#2010#0.7 m
sco#kirk broadfoot#2007#1#2010#free
sco#andy webster#2008#1#2011#0.4 m
svk#filip šebo#2006#2#2010#1.8 m
sco#christian dailly#2008 (winter)#2#2008#free
esp#carlos cuéllar#2007#5#2011#2.37 m
nir#roy carroll#2007#0#2008#free
sco#neil alexander#2008 (winter)#0#2011#free
sco#steven smith#2002#1#2010#youth system
sco#lee mcculloch#2007#7#2011#2.25 m
sco#steven whittaker#2007#5#2012#2 m
gab#daniel cousin#2007#12#2010#1.1 m
sco#paul emslie#2005#0#2010#youth system
rsa#dean furman#2006#0#2008#free
sco#john fleck#2007#0#2011#youth system
