player#tackles#asst#totaltk#sack#yards#fumr
london fletcher#96#37#133#0.5#0#1
rocky mcintosh#61#27#88#2.0#4#0
chris horton#57#19#76#1.0#13#1
laron landry#49#16#65#0.5#18#0
carlos rogers#49#7#56#0.0#73#0
fred smoot#43#11#54#0.0#0#0
hb blades#41#19#60#0.0#0#0
shawn springs#31#5#36#1.0#0#0
marcus washington#25#19#44#0.0#0#0
andre carter#23#14#37#4.0#0#0
jason taylor#21#8#29#3.5#0#0
demetric evans#20#13#33#3.5#0#0
deangelo hall#20#5#25#0.0#6#0
kedric golston#19#9#28#2.0#0#0
mike green#16#4#20#0.0#0#0
cornelius griffin#16#11#27#1.0#0#0
anthony montgomery#15#8#23#2.0#0#0
reed doughty#15#4#19#0.0#0#0
lorenzo alexander#11#6#17#2.0#0#0
mike sellers#11#2#13#0.0#0#0
kareem moore#11#6#17#0.0#0#0
leigh torrence#11#5#16#0.0#0#0
khary campbell#11#2#13#0.0#0#0
james thrash#10#2#12#0.0#0#0
chris wilson#8#6#14#1.0#0#0
rock cartwright#6#3#9#0.0#0#0
alfred fincher#4#2#6#0.0#0#0
justin tryon#4#0#4#0.0#0#0
shaun suisham#3#0#3#0.0#0#0
devin thomas#3#3#6#0.0#0#0
clinton portis#3#0#3#0.0#0#0
todd yoder#2#1#3#0.0#0#0
antwaan randle el#2#0#2#0.0#0#0
santana moss#2#0#2#0.0#0#0
ryan boschetti#2#0#2#0.0#0#0
rob jackson#1#0#1#0.0#0#0
casey rabach#1#0#1#0.0#0#0
ladell betts#1#0#1#0.0#0#0
ethan albright#1#0#1#0.0#0#0
jason campbell#1#0#1#0.0#0#0
chris cooley#1#0#1#0.0#0#0
chris samuels#1#0#1#0.0#0#0
stephon heyer#1#0#1#0.0#0#0
