res#record#opponent#method#event#round#location
loss#10 - 6 - 1#hank weis#submission (guillotine choke)#kickdown - sturgis#1#south dakota , united states
loss#10 - 5 - 1#don ortega#decision#pnrf - explosion#2#mexico
loss#10 - 4 - 1#heath sims#submission (strikes)#sf 2 - on the move#2#oregon , united states
loss#10 - 3 - 1#carlos condit#tko#rof 11 - bring it on#1#colorado , united states
nc#10 - 2 - 1#doug evans#no contest - evans kicking in groin#ifc - global domination#1#colorado , united states
win#10 - 2 - 1#antoine skinner#submission (omo plata)#battleground 1 - war cry#2#illinois , united states
win#9 - 2 - 1#michael buell#tko#samp - showdown at mcgee park#2#mexico
win#8 - 2 - 1#eric davila#decision#rof 5 - predators#3#colorado , united states
win#7 - 2 - 1#brad blackburn#decision#mfc 4 - new groundz#3#alberta , canada
loss#6 - 2 - 1#joe stevenson#decision#up 1 - ultimate pankration 1#3#california , united states
win#6 - 1 - 1#joe stevenson#decision#gc 5 - rumble in the rockies#3#colorado , united states
win#5 - 1 - 1#brian dunn#submission (rear naked choke)#msf - total destruction#2#south dakota , united states
win#4 - 1 - 1#jeff lindsay#decision#rof 3 - ring of fire 3#3#colorado , united states
win#3 - 1 - 1#clint rather#submission (rear naked choke)#msf - night of thunder#1#colorado , united states
draw#2 - 1 - 1#cj fernandes#draw#ufc 27#2#louisiana , united states
loss#2 - 1#shonie carter#decision#ufc 24#2#louisiana , united states
win#2 - 0#dario valdez#submission#bri 5 - bas rutten invitational 5#1#colorado , united states
win#1 - 0#jason mckeever#submission (arm bar)#bri 1 - bas rutten invitational 1#1#united states
